Sentence,Artistic Process,Best Selling Books,Blueprints Toolkit,Business Models,Discovery Invention,Expert Advice Recommentations,Governance Structure,Health Regimes,Industry Standards,Lifestyle,Operations Manual,Philosopy Values,Production Method,Regulations,Solutions Playbooks,Strategies,Category_Tag,Filename
"In another experiment on a Tesla , computer security experts managed to trick the 
car’s Autopilot self-driving software and swerve into the oncoming traffic lane.",1.989861,7.872766,6.906122,7.29353,20.835443,6.314042,1.266156,3.163087,7.600993,3.452633,3.357956,2.586271,11.133153,7.466392,5.081088,3.680506,Discovery Invention,ISOfocus_143_en.pdf
"“ Other incidents, such as those not involving white hat hackers, would also need 
to be handled with reasonable care and attention, ” says Dr Gido Scharfenberger-
Fabian, a project leader in ISO’s expert working group WG 11 that deals with cyber -
security for electrical and electronic components of road vehicles.",1.551417,6.716955,5.3525,4.642895,5.858626,31.071288,1.944718,1.34185,8.665684,3.280061,2.895657,4.463094,2.399432,6.77339,9.453789,3.588646,Expert Advice Recommentations,ISOfocus_143_en.pdf
"1)
Cybersecurity, therefore, is big business, particularly when it comes to vehicles.",1.397723,2.452114,5.134214,12.965949,8.547219,9.332405,3.775192,1.22212,12.336991,7.700574,0.949043,5.709328,2.483873,11.501787,1.946003,12.545466,Business Models,ISOfocus_143_en.pdf
"Various estimates  of the value of the global automotive cybersecurity market put 
it growing from USD  2.4 billion in 2019 to some USD  6 billion by 2025.",1.609568,4.396421,6.717059,10.726246,6.473553,13.60322,2.050911,1.581674,9.840038,5.247179,1.097642,9.399158,3.208554,15.307406,1.878072,6.8633,Regulations,ISOfocus_143_en.pdf
"But despite 
this thriving industry, the war on hacking has only just begun.",1.923546,15.203103,4.827822,9.458374,27.765277,5.284439,1.915853,1.493578,4.971738,2.539593,1.233777,3.910477,2.947468,9.33962,3.040719,4.144617,Discovery Invention,ISOfocus_143_en.pdf
"1) WG 11 operates under technical committee ISO/TC 22, Road vehicles , subcommittee SC 32, 
Electrical and electronic components and general system aspects .",0.978661,0.891388,2.524992,1.367664,2.282845,2.685172,1.865373,0.867655,50.03739,0.64635,1.930005,0.782175,1.564355,25.696091,3.27796,2.601924,Industry Standards,ISOfocus_143_en.pdf
"ISOfocus_143 | 23A long history of data
Data has been collected from our cars as far back as the early 1990s, 
says Jack Pokrzywa, Director of Global Ground Vehicle Standards 
for SAE  International , a global association for the “ mobility ” engi -
neering profession and a key ISO partner.",0.969795,6.03447,9.481385,3.031845,25.496579,4.989831,0.790338,1.995496,17.940192,2.807854,0.987569,2.193667,1.399272,19.238915,1.156156,1.486637,Discovery Invention,ISOfocus_143_en.pdf
"Devices such as Event Data 
Recorders, or the “ black box ” of a car, provide information about our 
vehicle’s operations before and after a crash, for example.",2.079767,2.179474,28.901315,6.901306,7.539638,10.057519,0.869895,1.707242,14.687422,1.866822,3.619732,2.198218,2.842983,9.331556,3.351795,1.865314,Blueprints Toolkit,ISOfocus_143_en.pdf
"Now, of course, the technology has advanced well beyond that.",0.972957,1.682896,2.138738,4.189228,46.986343,6.284167,0.63721,1.612962,3.959271,2.070156,0.942876,2.818745,7.713257,3.0735,1.436617,13.481077,Discovery Invention,ISOfocus_143_en.pdf
"Capabilities include capturing outside information, such as location, 
weather and traffic conditions, while sensors inside the vehicle can 
collect data about the occupants to provide meaningful information in 
case of an accident. “",1.483336,1.327412,36.027796,5.072187,2.328963,9.762276,1.289364,1.806146,9.557479,4.360481,3.354731,3.834798,3.359229,7.584491,3.452958,5.398354,Blueprints Toolkit,ISOfocus_143_en.pdf
"Let’s not forget about the biometric information, 
which can also track, for example, eye movement to detect a driver’s 
attention in order to determine if a driver is falling asleep behind the 
wheel, ” he adds. “",1.362477,3.741054,13.399191,2.442816,10.899434,23.14355,0.917983,6.204589,11.980622,4.702184,2.623823,2.840255,3.61912,8.803808,2.427472,0.891622,Expert Advice Recommentations,ISOfocus_143_en.pdf
"And now we have so many apps that connect to a 
car’s operating system, enabling, for example, the information about 
your calls made through a car speaker system to be recorded.",2.009668,2.327044,8.900093,12.785832,12.761286,18.274511,1.420272,4.239257,9.597267,3.028158,2.676849,2.306074,3.493449,9.266334,4.493506,2.4204,Expert Advice Recommentations,ISOfocus_143_en.pdf
"There 
are benefits of this related to safety, but there is also concern about 
data privacy.”",0.604259,1.745439,5.818788,3.794698,2.91366,11.978616,1.75271,1.614359,18.261607,4.866727,2.009431,11.575604,1.09893,23.105693,2.334638,6.524842,Regulations,ISOfocus_143_en.pdf
"In some jurisdictions, such as Europe, the vehicle identification 
number ( VIN ) is seen as personal identifiable information ( PII), 
warns Dr Markus Tschersich, another project leader in ISO’s expert 
working group. “",0.826006,2.966411,4.471959,1.525019,10.349152,5.2694,1.128388,0.951482,22.490084,1.752062,1.332467,2.151111,1.184349,41.285485,1.027099,1.289528,Regulations,ISOfocus_143_en.pdf
"Therefore, all data generated by vehicle systems and 
associated to a VIN can be interpreted as PII.",2.923264,1.459662,2.770426,6.195295,4.52362,2.705844,0.961672,2.010112,24.052577,1.740509,2.500853,2.664325,4.972003,36.95254,1.748582,1.818718,Regulations,ISOfocus_143_en.pdf
"This is information that, 
on its own or combined, can be used to identify, locate or contact an 
individual.",2.364274,3.757086,24.593103,14.95493,5.068613,11.419075,2.719277,2.244263,4.957216,3.222061,4.116369,3.942495,2.810173,6.733518,4.55459,2.542958,Blueprints Toolkit,ISOfocus_143_en.pdf
"For example, data gathered from braking, steering systems 
and other car components can be used to derive information about 
the driver’s skills and behaviour.”",2.130918,1.542245,21.185171,7.535047,4.491803,8.239943,2.12933,2.652987,9.416014,3.500434,7.565825,4.037806,7.377682,9.563834,6.452579,2.178381,Blueprints Toolkit,ISOfocus_143_en.pdf
"And as long as there is a connection 
between the car and external sources, there is a possibility of hacking.",1.876334,6.481382,5.940305,8.273215,20.479888,12.404444,2.262782,2.725185,6.714489,3.660613,1.585417,5.949974,5.18802,8.610723,3.538838,4.308391,Discovery Invention,ISOfocus_143_en.pdf
"Cybersecurity  
is big business, 
particularly when  
it comes to vehicles.",1.492265,2.201754,7.951169,12.792074,7.273381,8.08264,3.726625,1.123773,14.521251,7.443292,0.945968,3.908621,2.883404,10.859019,2.025198,12.769567,Industry Standards,ISOfocus_143_en.pdf
"24 | ISOfocus_143The race to keep up with hackers
Today’s cars are filled with complex soft -
ware and they are expected to be even more 
so in the not-so-distant future.",1.755348,11.848648,7.990749,7.307475,16.742151,10.982035,1.152424,1.977178,7.166662,4.699665,1.502282,5.649369,2.948039,8.266741,3.001899,7.009335,Discovery Invention,ISOfocus_143_en.pdf
"According 
to management consultancy McKinsey & 
Company, cars have around one hundred 
million lines of code today, but it is thought 
that by 2030 there will be three times 
that number.",1.426232,5.494748,3.781544,4.85472,20.978659,8.081182,0.848863,2.23379,20.100931,2.469021,2.204748,4.487715,3.966337,15.803758,1.422228,1.845523,Discovery Invention,ISOfocus_143_en.pdf
"This is compared to, say, a 
passenger aircraft, which has approximately 
15 million lines of code and your standard PC 
operating system with up to 40 million lines 
of code.",2.228488,4.314613,2.810188,10.062956,13.595401,11.039203,1.154647,2.556427,25.522632,1.979625,2.12054,2.022388,6.685089,9.97154,1.875042,2.061222,Industry Standards,ISOfocus_143_en.pdf
"The more complex the machine, the 
more opportunities for cyber-attacks along 
the entire value chain.",1.999746,4.641266,6.358425,18.086156,10.170095,9.330844,2.394728,1.338562,3.896582,2.309924,1.2696,6.108736,4.645648,5.00379,2.912506,19.533392,Strategies,ISOfocus_143_en.pdf
"As technology becomes more deeply 
embedded into cars in general, the automo -
tive industry is facing the task of our genera -
tion.",3.968647,1.845036,6.210249,5.392708,11.987251,6.290638,1.249758,1.633084,12.305428,3.44647,2.383663,2.749763,20.801171,6.039643,1.666761,12.029731,Production Method,ISOfocus_143_en.pdf
"That is, securing the global automotive 
infrastructure from those cybercriminals 
who want to steal data and take control of automated systems for malicious purposes.",1.277332,2.31779,8.338396,9.15918,5.980674,6.779002,2.583805,1.341162,18.666916,3.281751,1.267728,2.707242,3.105787,21.437132,2.231567,9.524537,Regulations,ISOfocus_143_en.pdf
"“ Cybersecurity measures need to be adapted 
from system generation to system genera -
tion, but also in systems in the field via 
updates,  ” says Dr Scharfenberger-Fabian.",1.376831,2.753618,9.122774,5.100414,5.871996,17.67485,3.394241,1.875643,12.40545,2.30181,2.01716,4.550865,4.095384,7.525205,9.77648,10.157281,Expert Advice Recommentations,ISOfocus_143_en.pdf
“ It is a never-ending challenge.”,2.248164,11.952904,2.606364,1.757781,5.703167,20.8185,1.283147,3.873597,5.051789,4.826084,1.619453,16.852829,3.500491,8.492056,4.217247,5.196427,Expert Advice Recommentations,ISOfocus_143_en.pdf
"Pokrzywa points out that any device that 
runs on software can be hacked.",3.263533,8.027563,5.012417,6.685925,9.868416,21.081268,2.586356,3.921995,6.548489,2.747526,6.116189,4.124161,4.342967,6.404004,6.595546,2.673647,Expert Advice Recommentations,ISOfocus_143_en.pdf
"Countering 
such problems requires a high degree of 
knowledge sharing in the industry and 
particularly between car manufacturers 
and their supply networks.",1.311534,1.598884,3.324868,6.534528,6.368269,14.061614,2.405465,1.423857,15.465036,2.251458,2.377625,6.531454,10.599413,6.772979,4.696711,14.276304,Industry Standards,ISOfocus_143_en.pdf
"One organi -
zation that does that in the US, he says, is 
the Automotive Information Sharing and 
Analysis Center ( Auto- ISAC ).",0.919934,2.097048,4.97015,5.880944,4.873051,5.020449,1.289142,1.167595,27.563543,1.096455,2.162162,0.84492,1.582697,34.979658,2.540293,3.011957,Regulations,ISOfocus_143_en.pdf
"Industry 
members share and analyse information 
about any possible risks to vehicles, thus 
contributing to the strengthening of cyber -
security technologies.",1.14093,1.608218,20.648228,6.795655,4.363755,15.308157,2.32484,1.248347,15.48263,2.49138,2.652172,5.195407,3.069219,8.148611,3.179091,6.34336,Blueprints Toolkit,ISOfocus_143_en.pdf
"But a worldwide 
holistic approach is also needed.",1.034084,2.218594,2.050769,4.574713,6.790198,23.900459,4.28349,1.872859,6.18671,10.070401,0.588038,12.550895,1.688966,5.818106,5.682855,10.688861,Expert Advice Recommentations,ISOfocus_143_en.pdf
Head-up display systems are the future of automotive technology.,4.38453,1.507415,9.679023,9.581791,9.16329,9.60219,1.086632,1.823743,15.089662,3.747534,2.222523,2.138854,12.024777,7.18988,4.306023,6.452133,Industry Standards,ISOfocus_143_en.pdf
"ISOfocus_143 | 25A global call
Aligning processes and methods along the supply chain 
as a baseline for considering cybersecurity appropriately 
in the engineering of automotive systems is the key, says 
Dr Scharfenberger-Fabian. “",1.141375,3.164438,10.009791,4.597377,8.499659,6.497531,2.578761,1.122954,20.405965,2.374225,2.629816,2.355742,4.794344,14.577108,7.96679,7.284123,Industry Standards,ISOfocus_143_en.pdf
"There are many established 
International Standards for IT security (e.g. ISO/IEC 27xxx 
series) or industry-specific security standards ( IEC 62443 
series  for industrial control systems),  ” he says, “  but 
they don’t address the specific needs of the automotive 
industry.”",0.34611,0.855021,1.43657,0.840406,1.56439,1.744301,1.370133,0.462428,66.703028,0.326421,1.504149,0.679047,0.835795,16.845741,2.648136,1.838326,Industry Standards,ISOfocus_143_en.pdf
"In 2015, SAE International created the Vehicle Cybersecurity 
Systems Engineering Committee to address these threats 
and vulnerabilities in the US market.",1.531854,4.814077,7.13099,4.001837,7.181587,3.808931,2.911163,1.557452,27.520295,1.281548,1.562421,2.409042,2.341734,22.204865,4.541873,5.200332,Industry Standards,ISOfocus_143_en.pdf
"A year later, the 
committee published SAE  J3061 , Cybersecurity Guidebook 
for Cyber-Physical Vehicle Systems , which defines a 
complete life-cycle process framework that can be tailored 
and utilized within each organization’s development 
processes to incorporate cybersecurity into cyber-physical 
vehicle systems, from concept phase through production, 
operation, service and decommissioning.",1.606016,6.692471,14.350729,8.2392,6.848927,3.930632,3.532397,2.200027,11.592764,3.211522,2.823774,2.670449,3.632058,9.110975,14.580069,4.97799,Solutions Playbooks,ISOfocus_143_en.pdf
"The new International Standard will draw on the SAE  
guidance and build a comprehensive cybersecurity tool 
that addresses all the needs and challenges of the industry 
at a global level.",0.890525,2.01775,9.653414,3.135344,5.206352,5.863115,2.930595,1.026049,38.689575,1.032334,1.970151,1.969456,1.374113,10.306406,9.5268,4.40802,Industry Standards,ISOfocus_143_en.pdf
"Currently in development, ISO/SAE 21434 , 
Road vehicles – Cybersecurity engineering , is due to be 
published in 2021 and aims to address cybersecurity in 
the engineering of electrical and electronic (E/E) systems 
within road vehicles.",1.387652,6.130629,9.936951,2.329168,6.63701,8.467471,1.611697,1.457698,30.376467,1.698934,1.721149,2.267765,2.637284,15.639946,4.188267,3.511913,Industry Standards,ISOfocus_143_en.pdf
"Use of the standard is thus intended 
to help manufacturers keep up with changing technolo -
gies and cyber-attack methods.",0.816587,0.659047,5.462876,3.918961,4.075982,13.885234,1.070066,1.008974,24.145081,1.865634,2.853651,1.662773,10.422613,6.133865,4.685821,17.332836,Industry Standards,ISOfocus_143_en.pdf
"Involved in the project are Dr Scharfenberger-Fabian 
and Dr Tschersich, who explain that the standard is 
intended to supersede SAE  J3061 recommended prac -
tice.",0.857864,3.302751,2.87583,2.700192,24.994046,11.451791,1.520747,2.259056,24.453757,1.250457,1.930097,2.274721,2.423104,8.400718,5.552084,3.752785,Discovery Invention,ISOfocus_143_en.pdf
"It will enable organizations to define cybersecu -
rity policies and processes, manage cybersecurity risk 
and foster a cybersecurity culture.",1.711112,3.416446,15.262851,11.624783,2.107544,6.507136,7.81657,1.477771,14.808158,3.478436,1.923736,3.477665,2.26871,6.416351,9.7432,7.959532,Blueprints Toolkit,ISOfocus_143_en.pdf
"It can also be used 
to implement a cybersecurity management system, 
including a proper management of road vehicle cyber -
security risk.",1.448762,1.605705,18.523362,5.493738,2.133152,7.989783,3.888512,1.715212,17.148254,3.715093,2.929866,2.592788,2.459216,8.517608,11.096264,8.742685,Blueprints Toolkit,ISOfocus_143_en.pdf
"26 | ISOfocus_143The security question
For an industry used to breaking down complex 
challenges and standardizing responses, cybersecu -
rity remains an unstandardized anomaly.",1.609361,6.433472,8.584171,4.232832,6.03295,6.797335,2.563281,1.231457,28.524666,2.66022,1.975303,4.166059,2.556287,10.446033,6.081098,6.105476,Industry Standards,ISOfocus_143_en.pdf
"So can the 
standard promise true cybersecurity? “",0.651794,4.039592,6.367137,2.901447,5.120687,12.440959,3.24926,1.221776,34.880296,2.185365,1.115348,6.33192,1.018879,11.598719,3.311337,3.565483,Industry Standards,ISOfocus_143_en.pdf
"Alas, there 
is no such thing as a ‘ secure technology ’ that could 
be standardized, ” says Dr Tschersich, “ so following 
ISO/SAE 21434 alone would not make the cars secure.",0.860283,5.604765,4.308866,1.563994,14.334012,4.726737,1.28974,1.730993,26.329726,2.140078,1.806639,3.206156,1.655074,26.574335,1.095623,2.772979,Regulations,ISOfocus_143_en.pdf
"But the processes described therein can most definitely 
build the baseline for a good cybersecurity engineering 
and help to tighten things up.”",1.690808,2.949737,14.262659,6.729841,6.83853,21.256328,3.32959,1.395377,7.880201,1.906924,1.619499,3.894859,4.61225,4.646257,6.556267,10.430873,Expert Advice Recommentations,ISOfocus_143_en.pdf
"These processes, he says, include the assessment of 
cybersecurity risks and approaches to identify and 
align on cybersecurity solutions for the systems, and 
to communicate them along the supply chain.",1.160792,3.159437,9.38578,4.279425,3.832304,7.821824,2.634358,1.373446,7.067948,2.200016,4.643011,2.573884,3.391788,4.965913,33.227256,8.282819,Solutions Playbooks,ISOfocus_143_en.pdf
"This 
includes the concept, development, production, oper -
ation, maintenance and decommissioning of road 
vehicle electrical and electronic systems, including 
their components and interfaces.",3.319729,1.402235,4.207386,2.783457,7.050703,5.714073,1.894015,1.663574,17.383411,2.676489,6.924829,2.289804,20.326386,8.302241,6.228966,7.832701,Production Method,ISOfocus_143_en.pdf
Real-time monitoring system software is used in automotive factories.,1.766751,0.760025,14.388099,10.415646,3.943602,6.878174,1.062254,1.357386,21.927778,1.377589,6.028145,0.841257,11.87221,10.548163,4.379889,2.453032,Industry Standards,ISOfocus_143_en.pdf
"As long as there is  
a connection 
between the car  
and external sources, 
there is a possibility 
of hacking.",1.984204,6.271223,5.867692,8.302078,19.124192,13.065402,2.414148,2.761457,6.576605,3.816734,1.630176,6.43281,5.343516,7.901412,3.753521,4.75483,Discovery Invention,ISOfocus_143_en.pdf
"The standard establishes a cybersecurity 
framework for automotive companies and 
features a common language for commu -
nicating and managing cybersecurity risk.",0.542383,1.239048,18.892737,3.080719,1.895459,4.169945,2.534714,0.92344,43.111674,2.067954,1.400982,1.796822,1.264369,11.022525,1.84871,4.20852,Industry Standards,ISOfocus_143_en.pdf
"“ While ISO/SAE  21434  does not address or 
push technologies directly, the framework 
provided will enhance the collaboration on 
cybersecurity within the industry and thereby 
lead to technology and solutions that better 
meet today’s and tomorrow’s cybersecurity 
problems.”",1.17698,3.94116,9.254232,5.571951,6.290814,13.132354,3.529852,1.591069,19.266754,1.792591,1.718927,4.657366,2.248982,8.711219,8.941611,8.174139,Industry Standards,ISOfocus_143_en.pdf
"It will help consider cybersecu -
rity issues at every stage of the development 
process and in the field, creating a checklist 
for engineers that includes scanning for bugs, 
increasing the vehicle’s own cybersecurity 
defences and creating a risk analysis of poten -
tial vulnerabilities for every component.",2.099564,3.187635,23.168588,3.743164,3.089184,19.043575,1.861841,1.337045,8.745638,1.982853,4.988476,3.07093,3.515357,4.204387,12.660968,3.300796,Blueprints Toolkit,ISOfocus_143_en.pdf
"ISO/SAE 21434 is already in demand to support 
existing regulations, he says.",0.40507,1.253065,1.559187,2.169049,3.808728,4.489986,0.992639,1.344863,33.961694,0.484657,2.172446,1.211748,1.428552,40.303506,2.098537,2.316273,Regulations,ISOfocus_143_en.pdf
"For example, it 
is seen as a reference document for the imple -
mentation of a cybersecurity management 
system ( CSMS ) demanded by recently intro -
duced United Nations ( UN) regulations related 
to cybersecurity in vehicles. “",0.669988,3.941449,14.814996,4.498804,4.188178,2.523771,3.072305,0.85953,36.421817,1.237558,2.262428,2.250597,0.667,15.03971,5.34344,2.20843,Industry Standards,ISOfocus_143_en.pdf
"This is due to a 
tight collaboration between the ISO/SAE joint 
working group and the respective UN Task Force 
based on a liaison, ” he explains.",2.307924,5.883424,2.218176,5.281013,8.153056,11.56562,3.957613,1.895137,15.956956,1.195165,1.573397,2.153436,6.473464,16.04826,9.425556,5.911803,Regulations,ISOfocus_143_en.pdf
"To further improve the relationship between 
the UN regulation and standardization, work 
has recently started on a publicly available 
specification, ISO PAS  5112 , that gives guid -
ance on organizational audits with respect to 
cybersecurity engineering.",0.706644,1.478258,6.253472,1.851634,2.847189,3.891174,2.529542,0.50716,43.521357,0.742641,1.496899,1.076965,1.30198,24.91783,4.63316,2.244096,Industry Standards,ISOfocus_143_en.pdf
"It will be based on 
ISO/SAE 21434 and is intended to be used to 
audit a CSMS  as defined by the UN regulation.",0.572141,0.956933,2.48621,2.589509,1.257377,1.512788,1.253208,0.428542,52.219357,0.312784,0.901734,0.464301,0.775775,30.568498,2.65778,1.043065,Industry Standards,ISOfocus_143_en.pdf
"The end goal is widespread implementation 
of the standard into the industry’s daily engi -
neering practices, along with increased aware -
ness achieved by including the standard in the 
training curriculum of engineers.",1.728923,1.146438,7.65723,2.313138,5.882758,15.369616,1.198153,2.036069,25.287515,2.088991,5.174219,2.573244,8.089107,7.07803,5.248174,7.128394,Industry Standards,ISOfocus_143_en.pdf
"“ If the product development is based on 
solid principles included in ISO/SAE  21434, 
vehicle security could be further increased, ” 
adds Dr Scharfenberger-Fabian.",0.96682,2.639432,4.597343,3.640223,9.891969,10.162554,1.681085,1.695551,18.163177,1.772486,1.929873,4.741395,3.210582,24.303558,2.341039,8.262912,Regulations,ISOfocus_143_en.pdf
"The future 
standard is designed to improve automotive 
cybersecurity and risk mitigation across the 
entire supply chain – from vehicle design and 
engineering through to decommissioning.",0.553169,1.030123,7.280315,2.313014,3.485839,9.829638,1.175348,0.94116,34.826392,1.865056,1.701018,3.744744,3.227721,11.700633,2.790658,13.535171,Industry Standards,ISOfocus_143_en.pdf
"Many in the industry are already making plans 
to ensure its integration.",1.6986,0.949091,3.436074,4.532858,5.472276,5.513595,2.205517,0.761431,17.402936,0.826647,1.92135,1.12437,11.407089,7.37298,3.516776,31.858408,Strategies,ISOfocus_143_en.pdf
"28 | ISOfocus_143In today’s motor industry, each step of the supply chain 
is guided, monitored and analysed by high-tech software.",1.085407,1.817005,8.509783,6.751761,9.841291,5.693351,1.387674,1.565612,21.622215,2.014766,5.514138,1.30736,8.891689,13.04921,4.229844,6.718895,Industry Standards,ISOfocus_143_en.pdf
"And so the battle continues
While still relatively new, the in-car cybersecurity threat will 
remain an ongoing concern.",1.28524,9.059793,7.96056,2.566979,6.071864,23.003999,2.025878,1.445001,4.446171,2.83711,1.373397,11.550074,1.188067,12.844198,4.86194,7.479727,Expert Advice Recommentations,ISOfocus_143_en.pdf
"As such, automakers must now 
consider cybersecurity as an integral part of their core business 
functions and development efforts. “",1.639374,1.953932,8.041398,8.654368,6.084973,9.497917,3.888775,1.059507,19.385149,3.728993,2.157352,4.74989,5.341077,6.602221,4.648851,12.566223,Industry Standards,ISOfocus_143_en.pdf
"I don’t think we can ever 
prevent attempts to breach the system, ” says Jack Pokrzywa, “ but 
by raising the security barriers higher, we can certainly reduce 
the risk.”",0.840899,4.914568,2.315557,4.162913,8.007674,14.513705,3.324081,3.712092,8.789262,1.985033,1.331847,10.992068,2.915799,23.76516,2.552838,5.876505,Regulations,ISOfocus_143_en.pdf
"This will also keep development and maintenance costs 
under control – a win-win for all industry players.",1.045226,0.875657,2.034717,4.911843,1.896608,6.846156,2.571847,1.263956,18.430582,2.327087,2.304781,4.126479,12.063711,17.546346,3.761856,17.993147,Industry Standards,ISOfocus_143_en.pdf
"In addition to ISO/SAE  21434, the automotive industry will 
continue to develop common cybersecurity standards to ensure 
manageable end-to-end secure solutions, including the upcoming 
standard for the auditing of cybersecurity engineering.",0.74334,1.046739,9.286972,1.658237,2.534031,6.207353,1.747864,0.757935,50.945383,1.430959,1.219883,1.652283,2.010569,11.963717,3.600709,3.194025,Industry Standards,ISOfocus_143_en.pdf
"The work 
is just beginning, but with an industry dedicated to securing 
automotive systems at every step of the process, the wheels will 
keep on turning as the cars we drive get safer and safer.",2.485531,2.112605,7.019507,4.982223,9.654633,9.188032,1.494485,1.08619,8.132797,3.482919,4.455858,4.027331,14.664317,14.562401,5.493344,7.157829,Production Method,ISOfocus_143_en.pdf
"■
A Croatian electric vehicle developer is pushing boundaries with its latest Concept-Two all-electric hypercar model.",2.25305,3.596302,2.232384,4.219554,18.9363,6.301823,1.98306,1.405303,9.105436,5.064133,2.441514,1.873854,12.579934,5.098289,4.424476,18.484589,Discovery Invention,ISOfocus_143_en.pdf
"Photo: RimacModern vehicles have up to 50 different automotive 
connected devices that hackers can attack.",2.032942,4.957672,11.537058,6.441649,15.853627,15.577005,1.351993,1.591359,11.362779,3.412511,3.577772,1.189297,2.838482,7.663419,6.346546,4.26589,Discovery Invention,ISOfocus_143_en.pdf
"Here are 
some areas of your car that need protecting.",0.936842,2.27602,10.455345,1.101629,3.334837,7.48792,1.264244,1.219246,6.602746,5.185998,3.394724,3.777808,1.592383,46.258075,1.108452,4.003729,Regulations,ISOfocus_143_en.pdf
Access granted!,0.535554,2.075078,2.576212,4.701417,1.323334,1.615146,4.340915,0.679016,17.327147,0.925416,2.6484,1.383052,0.394498,51.36832,6.456815,1.64968,Regulations,ISOfocus_143_en.pdf
"Key fob
Braking  system
Forced  
acceleration
Steering  system
Tyre  pressure  
monitoring
Airbags
Connected  mobile  phone
GPS
Climate  control  unit
Onboard  
diagnostic  portOBDby Kath Lockett
With fast and convenient charging 
still a headache for the fully electric 
car, a hybrid actually makes a lot 
of sense.",1.701596,4.770641,6.596284,4.293437,13.339778,10.743296,1.635702,4.314568,12.892,4.669427,4.811371,3.995883,4.924043,13.292741,4.984908,3.034324,Discovery Invention,ISOfocus_143_en.pdf
"ISO is on the road to provide 
the standards to support it.",0.566409,1.052837,4.21866,1.025533,3.01914,4.153109,0.643763,0.983181,56.291435,1.244986,1.278821,1.972158,1.555414,17.585149,3.043453,1.365954,Industry Standards,ISOfocus_143_en.pdf
"32 | ISOfocus_143Driving the world  
forward  →
Encouraging more people into electric vehicles is at the heart of govern -
ments’ efforts to tackle climate change.",0.931585,6.364084,3.280361,3.55113,16.27741,8.685279,3.189992,3.18478,8.354437,5.995042,1.321698,5.632409,2.361722,16.847848,3.099594,10.922628,Regulations,ISOfocus_143_en.pdf
"That’s because transport accounts 
for a bulk of the world’s CO 2 emissions – more than any other sector.",1.126605,2.915222,1.292772,7.561447,14.189146,5.922254,1.338624,5.900438,8.980491,9.225757,1.026549,2.555174,4.792736,29.988685,0.818016,2.366083,Regulations,ISOfocus_143_en.pdf
"Sales 
of all hybrid electric vehicles are up, leading to suggestions that we have 
reached a turning point.",1.788395,3.159212,2.147979,5.307936,10.970601,8.108266,1.099371,2.380677,7.596935,4.019206,1.875533,6.594743,11.435307,3.102866,4.194962,26.218012,Strategies,ISOfocus_143_en.pdf
"Electric and hybrid vehicles have come a long way since the early 1990s 
when the first serious attempts at producing such a vehicle were made.",2.958958,3.393267,1.410815,1.919673,36.720442,3.461597,0.718742,2.091982,4.624095,3.720827,1.411253,1.61744,24.147808,2.775076,1.577369,7.450655,Discovery Invention,ISOfocus_143_en.pdf
Only a few of them were a true success.,1.029685,21.506267,2.295804,8.868556,15.250994,9.471198,1.466836,2.696529,4.684508,2.429533,1.082389,8.019068,2.129292,6.81025,3.518853,8.740237,Best Selling Books,ISOfocus_143_en.pdf
"Since then, electric and hybrid 
vehicle technology has made some significant progress and these types of 
vehicles have become cleaner, faster and more efficient.",2.415267,1.138317,1.634171,1.89839,13.744202,7.643745,1.025984,2.626513,5.877757,4.474343,2.036627,2.235664,40.870378,4.043174,1.268066,7.067402,Production Method,ISOfocus_143_en.pdf
"With the sophis -
ticated technology they have at their disposal today, the next challenge 
is the development of standards that harmonize its use and leverage all 
the possibilities it has to offer.",1.303336,1.835702,6.736504,3.214669,10.886597,12.446888,1.500586,1.385552,14.113376,1.507486,5.063085,5.62172,6.650545,6.72081,7.150709,13.862435,Industry Standards,ISOfocus_143_en.pdf
"ISOfocus_143 | 33Coming to terms with COVID-19
The impacts of the recent health crisis on 
the world have extended far beyond manda -
tory shutdowns, the challenges of teaching 
active young children while working from 
home and looming economic uncertainty.",0.927502,13.289023,7.74169,4.226951,8.920699,14.649935,1.708847,4.158895,8.440688,3.694983,2.317302,8.183478,1.436265,11.739832,5.749711,2.8142,Expert Advice Recommentations,ISOfocus_143_en.pdf
"The International Energy Agency  found 
that the fallout from the pandemic led to a 
50 % reduction in global transport activity 
in March 2020 compared to March 2019, 
with commercial flights dropping more 
than 75 % in mid-April.",1.375206,9.089084,2.285232,6.064284,9.091342,12.861972,1.383942,6.340143,11.371737,3.097099,2.0534,2.020648,4.215,19.202544,5.097009,4.451359,Regulations,ISOfocus_143_en.pdf
"Despite this gloomy 
outlook, a distinctly positive outcome has 
been the fall in daily global CO 2 emissions, 
with research journal Nature  reporting that 
carbon outputs had decreased by 17 % by 
early April 2020 compared to the same time 
last year.",1.124423,6.958611,1.737199,6.613795,8.72732,16.520326,0.964387,8.26789,11.541799,3.501673,1.624538,9.163029,4.388997,12.910853,2.710016,3.245143,Expert Advice Recommentations,ISOfocus_143_en.pdf
"This combination of reduced transporta -
tion levels and lower carbon emissions has 
sharpened our awareness to the importance 
of hybrid electric vehicles ( HEV s).",1.319474,2.033004,1.697163,4.402922,11.066759,8.738772,0.959383,5.916662,18.795206,5.692717,1.750854,3.742997,11.299265,12.1853,1.614348,8.785175,Industry Standards,ISOfocus_143_en.pdf
