Sentence,Adult,Arts and Entertainment,Autos and Vehicles,Beauty and Fitness,Business and Industrial,Computers and Electronics,Finance,Food and Drink,Games,Health,Hobbies and Leisure,Home and Garden,Internet and Telecom,Jobs and Education,Law and Government,News,Online Communities,People and Society,Pets and Animals,Real Estate,Reference,Science,Sensitive Subjects,Shopping,Sports,Travel,Category_Tag,Filename
"Chargers with very high rates are one potential 
solution.",2.998236,3.090748,3.27492,2.420205,7.727788,6.536182,18.588237,4.456016,1.20292,4.848974,2.156417,2.388491,1.184464,6.386066,1.754752,6.023126,0.504867,3.753139,1.811673,4.844928,0.613268,4.903263,1.829657,3.264302,1.732012,1.705349,Finance,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Chargers rated as high as 3 megawatts 
(MW), or 3000 kW, are in development for 
heavy duty trucks.77 These have the advantage 
of charging trucks in a similar time to refueling 
with diesel, making long-haul battery trucks 
more economic for hauling companies, since 
time is money in this application.",4.964795,5.664458,6.347693,2.510766,8.510463,7.802754,10.008961,3.951244,1.166417,3.95245,2.774826,2.262289,1.804184,7.432315,1.688962,7.214031,0.600505,2.654503,3.951471,1.91945,1.251466,5.045117,1.299634,1.441007,2.994813,0.785426,Finance,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"However, these 
chargers have serious implications for the power 
grid, particularly if there are several of them in 
a single location, such as at a highway truck 
stop.",3.400186,2.530463,3.298676,1.391756,7.033184,7.024121,7.097408,3.727328,1.74252,4.022256,2.011805,2.691734,3.332761,9.900991,3.144653,7.780442,1.287974,3.038451,1.532876,5.795199,1.452319,6.342443,2.615411,3.433629,1.460038,2.911379,Jobs and Education,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"This high level of discontinuous, “lumpy” 
power draw is a challenge for the grid and will 
require battery storage or distributed generation 
to balance the load.",4.075081,3.670924,1.836118,2.83835,4.610776,9.758587,4.075364,2.621803,5.126897,9.883537,2.14256,4.930883,2.753923,4.050357,1.342118,8.241304,1.857067,1.602783,1.922662,2.269393,1.011366,9.548486,6.815201,1.58026,0.848905,0.585295,Health,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Proactive grid expansion 
of electrical infrastructure at designated truck 
charging stops would be needed as such heavy 
trucks are deployed.",6.077056,2.429572,2.466657,1.92512,5.172728,6.274603,4.61466,2.379162,0.963035,5.016878,2.32147,1.896851,2.91624,17.832109,2.365376,12.105829,1.200531,2.902885,1.444762,5.264773,0.927832,4.948331,2.34453,1.843694,1.238455,1.126861,Jobs and Education,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Slower chargers lighten the 10load on the power grid but raise challenges of land 
use and space to accommodate trucks for the 
longer charging time, in addition to the economic 
challenge of more downtime for refueling.",4.724605,2.515727,2.266993,2.091493,4.354561,6.751703,5.008962,2.34482,2.175954,4.215468,3.003553,3.212905,2.64811,11.286273,2.729577,9.355568,1.050294,3.31694,2.566407,4.207139,0.901209,11.109187,2.278559,3.116612,1.471093,1.29629,Jobs and Education,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Wireless charging imbedded in road 
surfaces or charging from overheard wires 
are both possible but require very large 
infrastructure investments.",3.651424,3.946533,1.732341,1.41027,5.553937,8.348534,7.199284,1.216457,1.593803,4.204154,3.002347,2.076332,4.17195,8.351242,4.147332,10.014443,1.047367,4.095229,2.527561,3.520579,1.213974,4.827984,3.895764,1.744249,3.537264,2.969645,News,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Charging along a route is an additional possibility 
for electric heavy vehicles.",4.113412,3.103657,10.79737,2.810238,6.650212,8.292874,6.834825,3.099966,0.88882,4.747992,2.163846,2.137132,2.554539,5.843732,2.580882,6.72023,0.434855,1.540294,2.234152,3.807729,0.9595,5.06865,1.963515,3.524277,1.887325,5.239978,Autos and Vehicles,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Applications of wireless 
charging technology are already in use in fleets 
where vehicles follow a set route.",3.286938,1.480555,4.684582,2.590079,4.424521,12.620818,5.11541,1.304892,2.53335,3.799603,3.459752,2.405585,7.592545,7.982153,3.968049,5.332334,1.16952,1.786061,1.572597,4.048295,1.891836,3.820073,1.387651,2.824076,2.105385,6.813339,Computers and Electronics,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"For example, in 
California, the Antelope Valley Transit Authority 
operates a fleet of electric buses with 250 kW 
inductive charging pads in the pavement at some 
transit centers.",4.611289,2.698599,3.511929,2.483154,7.321176,7.539894,4.365219,2.265229,0.810136,3.793134,2.082604,2.763199,4.696375,10.51871,11.708282,5.270909,0.555825,2.773288,2.507585,4.00025,1.196512,4.002867,1.921175,1.72705,1.881259,2.994353,Law and Government,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"The all-electric buses can top off 
their batteries during planned longer stops at these 
centers, meaning that they can run for the same 
number of hours per day as the diesel buses they 
replaced.78 This technology is more difficult for large 
vehicles that need route flexibility, like long-haul 
trucks.",5.658902,5.249043,6.756521,3.372968,6.230953,10.165895,1.960584,4.683249,1.054952,6.819221,3.304064,3.886884,2.72312,7.752409,1.809891,5.797369,0.525766,2.035284,2.39309,2.786455,0.902009,6.158315,1.896431,1.76651,1.77408,2.536036,Computers and Electronics,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Wireless charging imbedded in road surfaces 
or charging from overheard wires are both possible 
but require very large infrastructure investments.",3.651424,3.946533,1.732341,1.41027,5.553937,8.348534,7.199284,1.216457,1.593803,4.204154,3.002347,2.076332,4.17195,8.351242,4.147332,10.014443,1.047367,4.095229,2.527561,3.520579,1.213974,4.827984,3.895764,1.744249,3.537264,2.969645,News,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Such infrastructure could be built on main shipping 
routes, with vehicles relying on battery storage for 
“last mile” travel on smaller roads.",3.212593,2.058955,3.508159,1.648837,5.301448,8.188765,4.527944,2.360711,1.014349,3.543101,2.271992,2.634759,9.591748,6.824895,2.181849,5.201389,1.221569,1.575661,2.116925,6.62812,1.603724,5.282257,2.428658,3.352328,0.999382,10.719882,Travel,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"In addition to electrification, alternative fuels could 
provide pathways to decarbonization.",2.403695,2.456487,4.760037,3.354004,5.726523,5.048966,8.324284,4.813861,0.880013,4.812219,1.5341,2.509316,1.982185,3.138665,1.660705,9.168856,0.706794,2.389171,1.698439,2.193173,1.014251,24.05532,2.370182,0.771578,1.336577,0.890601,Science,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Biofuels and 
other liquid fuel types that are compatible with 
today’s infrastructure and engines provide an easy 
pathway.",2.949164,1.778308,8.197152,5.276809,7.532355,7.647028,8.219365,10.931098,0.810437,4.780019,2.581631,5.385871,2.05194,4.169344,0.863662,4.51014,0.961642,1.458834,2.236828,1.637155,1.098733,8.76436,0.550673,1.852357,2.391658,1.363436,Food and Drink,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"However, these types of fuels are more 
needed in the harder to decarbonize aviation and 
maritime sectors.",1.766865,2.763198,3.821252,2.514347,8.966781,5.347352,7.370161,5.67932,2.871399,6.082074,1.415303,1.75456,1.878238,3.027154,3.745893,10.047659,0.60987,2.997061,4.196685,1.207923,0.935947,8.326189,6.171527,0.883938,4.855978,0.763326,News,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Diesel made from agricultural 
products or waste is blended into some fuel today, 
for compliance with the Federal Renewable Fuels 
Standard and the California Low Carbon Fuel 
Standard.",2.123857,1.480003,11.049094,5.594703,9.129403,6.834294,7.623484,13.885669,1.050181,5.402465,1.583916,2.078961,2.44201,3.942702,2.79427,4.740793,0.420778,1.391812,1.566,0.951801,2.19084,4.904514,1.267569,1.184052,3.611147,0.755682,Food and Drink,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Even if road transport is not the highest 
and best use of these fuels over time, regulations for 
the trucking industry are encouraging development 
and scale-up of the technology.",4.091167,3.37126,6.59609,3.647701,9.476253,6.095675,7.521035,3.703415,0.908483,6.715658,2.417291,1.173022,2.870043,5.512678,2.716212,7.463373,0.908207,3.823165,3.196838,1.783865,2.115499,4.362633,2.953167,2.193486,2.949799,1.433986,Business and Industrial,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Hydrogen is another alternative fuel that has 
potential in trucking.",2.593683,2.444697,24.170143,2.511935,9.145302,6.281732,4.925055,7.433323,0.6917,5.141817,1.966144,3.62203,1.066797,4.082619,1.789275,4.696978,0.297546,0.602029,1.945167,2.27704,0.8286,6.008742,1.165513,2.458693,1.099753,0.753686,Autos and Vehicles,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Hydrogen-fueled trucks have 
electric drivetrains and use the hydrogen to produce 
electricity in a fuel cell.",1.908422,3.239173,10.901789,1.801477,10.937715,7.687905,6.445655,5.472817,0.934927,3.287799,1.485527,2.342396,2.476448,7.369599,2.784176,3.358207,0.38019,1.018921,2.063247,1.618446,0.657787,17.233153,1.193089,0.995226,1.762364,0.643547,Science,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Thus, these trucks have 
many of the same advantages as electric vehicles 
— a lighter, simpler, and more efficient drivetrain 
— without the disadvantage of the heavy battery 
and long refueling time.",2.596983,2.863255,17.899544,2.340603,6.549439,11.151323,3.470634,5.443359,0.988433,5.16485,2.344971,2.768787,2.781557,4.965567,1.69082,4.129299,0.40533,1.187627,4.608523,1.916749,0.843989,5.154905,1.408008,2.762578,2.865649,1.69722,Autos and Vehicles,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"However, the hydrogen 
truck market is less advanced than that for electric 
trucks, primarily because of the need for extensive 
infrastructure to produce and distribute hydrogen.",2.931658,3.74206,7.049546,1.503797,17.356543,4.397713,8.563418,4.331071,1.012287,4.310307,0.781295,2.382154,1.72071,5.780365,2.36973,7.048877,0.528262,1.104189,1.288015,2.405948,0.834941,9.729262,2.458993,4.37732,1.396442,0.595098,Business and Industrial,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Also, to achieve its potential, hydrogen for trucking 
would need to be produced by splitting water 
molecules through the process of electrolysis, 
using renewable electricity, rather than the process 
of steam reforming methane that is more common 
today.",3.607057,4.42361,4.033793,2.145261,7.470918,4.960696,4.339275,6.556017,0.709667,4.925925,1.716696,2.576011,1.598394,6.610775,3.108236,7.503175,0.430985,1.974367,1.890715,2.391198,0.76522,21.037689,1.891555,1.311827,1.367461,0.653477,Science,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Nonetheless, hydrogen trucks are under 
development.",4.479618,5.187025,13.401361,1.949382,13.937007,6.643385,4.369469,5.497629,0.74428,3.435483,1.151141,3.503206,0.669796,5.888204,2.468356,8.46003,0.466293,1.270419,1.121963,2.02078,0.541527,8.745165,1.059756,1.415653,1.009895,0.563177,Business and Industrial,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Kenworth and Toyota are partnering 
to develop a hydrogen-fueled Class 8 truck,79 
Cummins has hydrogen trucks in development,80 
and start-up Nikola has hydrogen trucks on the 
market today.81
In addition to the technology, the fragmented 
structure of the long-haul trucking industry raises 
challenges for decarbonization investments.",5.08648,4.296313,12.541606,3.236376,10.633643,7.49013,3.408487,5.218548,1.208347,3.454817,2.134222,2.678015,1.073227,7.693743,1.371784,6.339832,0.938361,1.6759,2.200681,2.284848,0.937115,7.702806,1.056194,3.398668,1.402807,0.53705,Autos and Vehicles,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"In the 
United States, a strong majority of trucks are owned 
by companies that operate 20 trucks or fewer.82 In 
Asia, nearly 90% of trucks are owned by individual 
drivers.83 Smaller companies are less able to take 
risks on new technology or provide dedicated 
refueling infrastructure, and they have less access 
to capital to cover up-front costs of trucks and 
changing technology.",3.788589,2.649641,6.18446,1.0448,24.7909,5.691777,10.923065,3.129781,1.4633,3.624145,1.235173,2.403437,2.335077,2.571834,5.377639,4.406812,0.641712,1.4856,3.896902,1.858418,1.049564,1.799303,2.510088,2.607463,2.027237,0.503284,Business and Industrial,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Smaller companies are also 
less likely to face public pressure to take the lead 
in new technology, since they are not household 
names and are often privately owned, and thus do 
not face pressure from shareholders or investors.",6.572063,3.210033,1.304598,1.083866,11.979043,3.6604,19.672815,1.881345,2.706719,4.314112,0.878813,1.798385,3.646019,2.143855,3.297546,7.585174,1.272319,2.570227,2.894812,3.795437,0.707183,1.952486,4.680844,5.059522,0.797355,0.535027,Finance,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Smaller companies operate in a competitive market 
with thin margins.",2.712998,1.423753,1.267197,2.025649,15.419619,2.52577,30.353302,2.39519,6.034415,2.15172,0.97098,1.494291,2.434109,3.021823,0.945802,6.90759,0.963545,1.62878,1.792604,1.95564,0.309176,1.074311,2.222007,6.801814,0.863046,0.30487,Finance,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Operators of 20 trucks or fewer 
only consider technologies with paybacks ranging 
from six to 36 months (averaging a year), while 
those operating fleets of 500 trucks or more still 
only consider a payback periods of 18-48 months 
(averaging two years).84 Lack of information about 
efficient technologies and split incentive problems 11(especially when the operator does not own the 
truck) are additional barriers to investments in 
efficient and alternative fuel trucks.",8.408613,2.740869,5.18596,2.611982,10.006571,5.779997,9.313061,2.43184,1.633249,4.349225,2.096421,1.920549,1.392462,7.182314,2.282977,9.851404,0.864991,2.452477,3.369094,1.274998,0.97921,4.338529,2.790385,2.966419,3.057278,0.719125,Business and Industrial,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Freight trucking conclusions
In the heavy road transport sector, the easiest 
parts to decarbonize are vehicles that follow 
set routes for relatively short distances per day, 
like buses, delivery trucks, and garbage trucks.",3.287204,4.784771,7.959059,3.903477,7.439001,6.54657,4.586558,3.267867,1.804034,4.937995,2.716873,2.809405,3.102291,9.545698,1.964325,7.204717,0.575639,1.844036,3.850003,2.162631,1.461024,6.219872,2.221695,2.324172,1.320234,2.160849,Jobs and Education,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Alternative vehicles for these applications are 
in commercial production and fleet operators 
are gaining experience in their deployment.",5.229658,1.424374,9.507544,3.973536,8.073637,8.625349,2.703841,3.436332,2.06997,2.783795,3.245139,1.342079,2.928735,18.029723,1.434603,4.593963,1.2475,2.095077,2.039172,3.507441,0.647852,2.441597,1.27839,3.907722,1.892517,1.540454,Jobs and Education,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"The 
question is, how will this experience carry over to 
heavy vehicles that travel longer routes without 
such easy access to refueling infrastructure, like 
long-distance freight trucks?",3.946413,2.370572,9.775529,2.538608,7.091024,4.872436,4.988589,4.602079,1.399435,5.96245,2.381794,2.054889,1.502412,7.026142,1.381864,5.634967,0.945538,1.831634,3.509137,2.095559,1.070024,5.124411,4.286994,1.640232,3.219953,8.747314,Autos and Vehicles,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Additionally, short 
haul applications like drayage are today where 
old trucks go to die.",5.974736,3.791398,12.690184,2.26166,6.602615,7.753725,3.960674,3.35961,1.994152,4.569195,1.667987,4.471697,2.25329,4.458157,1.38792,8.853443,0.563966,0.876256,2.948093,2.776158,2.68029,3.196735,1.799634,6.463115,0.789492,1.855819,Autos and Vehicles,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Changing these applications 
into hotbeds of innovation will increase costs for 
operators, and likely require government support to 
finance the change.",3.832864,4.321405,1.192563,1.60292,6.277439,5.013085,8.94947,1.373904,1.960218,2.657629,1.36535,0.913416,2.371561,9.190413,1.514277,15.944359,1.356747,8.610932,1.851623,2.329545,1.250988,4.674601,3.169087,6.728757,0.868255,0.678593,News,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Policy is needed to encourage the switch to 
low-carbon heavy vehicles, but establishing 
large-scale infrastructure requires a clear 
technology winner.",3.786278,2.885714,5.127026,3.046259,7.701148,5.266414,4.370493,1.688602,0.89749,7.696446,1.43164,1.010352,2.446482,4.170727,1.773176,18.160974,1.353016,4.634605,2.840966,2.459181,1.565869,6.8312,4.808503,1.0807,1.129208,1.837531,News,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Chicken-and-egg problems are likely with any 
infrastructure-heavy solution, like hydrogen-fueled 
vehicles, fast chargers along freight routes, or 
on-route charging.",4.051415,3.752537,4.300012,1.959606,10.081049,5.221053,6.386678,5.18982,1.789632,6.998467,2.406143,2.881761,1.023743,3.435403,1.153859,5.868299,0.842714,1.410257,2.631867,1.216412,0.606426,20.271687,3.779741,1.086166,0.922162,0.733092,Science,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Policy is needed to encourage 
the switch to low-carbon heavy vehicles, but 
establishing large-scale infrastructure requires a 
clear technology winner.",3.786278,2.885714,5.127026,3.046259,7.701148,5.266414,4.370493,1.688602,0.89749,7.696446,1.43164,1.010352,2.446482,4.170727,1.773176,18.160974,1.353016,4.634605,2.840966,2.459181,1.565869,6.8312,4.808503,1.0807,1.129208,1.837531,News,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"In short-haul applications, 
operators are experimenting with different energy 
carriers, like hydrogen or batteries, and different 
refueling mechanisms, like fast-charging or on-route 
charging.",4.95379,1.952872,3.828619,4.110511,5.666046,9.666929,3.310614,3.247955,2.719128,4.517666,4.082872,1.976768,2.175918,15.453929,2.129358,2.90763,0.828796,1.903575,3.153725,2.450431,0.73274,10.991369,1.205078,3.175458,1.217704,1.640519,Jobs and Education,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"However, given the urgency of the climate 
challenge and some jurisdictions’ very ambitious 
decarbonization goals, clear winners may not emerge 
fast enough to enable the infrastructure buildout.",3.444684,6.897748,1.497756,1.67631,5.56836,2.775,3.478613,2.001399,2.605818,5.219229,1.980037,1.360589,0.451825,2.714396,1.634637,26.163108,0.779707,8.290861,2.644039,1.915966,0.493035,6.95186,4.124963,0.450748,4.068678,0.810632,News,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Policy has the potential to drive vehicle uptake and 
infrastructure development, but at the risk of not 
allowing the technology competition to fully play out.",5.180802,3.436047,4.453109,2.197208,7.955048,5.013597,9.487983,1.983566,1.976031,8.617348,1.621569,1.078813,2.053098,2.742285,3.552346,11.234593,0.976527,3.022972,3.306685,2.363664,0.969901,4.810185,8.434967,1.105865,1.253152,1.172639,News,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"The California Air Resources Board (CARB) is testing 
the principles for decarbonizing heavy transport with 
a new rule passed in June 2020.",1.724137,2.306792,4.534851,2.874579,5.369744,3.544914,4.294782,1.400961,1.249712,4.03059,1.114986,2.233092,0.782005,5.911855,6.692941,6.851117,0.481038,1.793392,3.51151,3.167787,4.76825,25.716587,1.39904,1.085913,1.322511,1.836916,Science,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"The rule requires 
growing numbers of zero-emissions medium- and 
heavy-duty truck sales over time, beginning in 2024, 
with all sales being zero-emissions by 2045.85 CARB 
does not specify the technology in the rule, but electric 
trucks are certainly ahead of other technologies in 
development, particularly in the medium-duty segment.",7.172931,4.546402,7.806111,2.267443,13.139169,5.149391,8.179081,3.430602,1.24545,5.415929,1.362773,2.214555,2.037757,2.557664,3.210453,9.574867,0.367638,1.537721,2.244649,1.644981,1.317483,5.593369,1.589891,3.168012,2.456197,0.769481,Business and Industrial,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"At the same time, utilities on the U.S. West Coast are 
working to provide the charging infrastructure that 
new electric vehicles will need.",5.703801,1.940546,2.924778,1.929515,7.597286,9.425505,3.251778,2.694631,0.878703,3.411175,1.869329,4.358016,4.432205,11.96041,5.69387,8.549665,1.085343,2.198776,1.952749,3.109652,1.440455,5.559228,2.0322,3.587076,0.780016,1.633293,Jobs and Education,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"The West Coast Clean 
Transit Corridor Initiative is a consortium of utilities in 
Washington, Oregon, and California.",3.0889,1.843971,2.746609,2.741628,8.331761,6.432532,2.400442,1.987537,0.631179,4.120304,1.695412,2.529892,5.6254,6.511235,9.937583,10.123275,1.180148,3.522718,1.655508,3.54831,3.273878,3.25593,3.293789,1.318277,1.195095,7.008689,News,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"It issued a report 
in June 2020, just days before the new CARB rule, 
recommending the development of charging stations 
at 50-mile intervals along Interstate 5, the main artery 
connecting the three states.",5.178365,3.664387,2.495248,2.578512,5.815268,4.751523,11.495663,2.180215,0.871028,4.659048,1.894904,2.726523,1.508367,4.034861,4.991872,13.354481,1.044821,2.452809,1.801267,2.881051,4.923124,5.599613,1.287407,2.392357,1.609306,3.807981,News,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"The first phase of these 
stations would be designed for medium-duty vehicles 
and completed by 2025, with the second stage adding 
charging for heavy-duty trucks at half the stations by 
2030.86  Providing sufficient power to the stations will 
be a challenge that will require new infrastructure, 
especially those stations located in rural areas.",8.821785,3.461501,2.205438,2.469565,4.524083,5.186763,4.768087,1.977687,1.454269,3.906331,1.712834,4.979134,1.982424,11.682628,2.760548,15.659955,1.374333,2.515482,1.623862,3.725603,1.023955,4.734371,2.461555,2.547763,0.921524,1.51852,News,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"At the 
medium-duty phase, peak demand from a station 
would be 3.5 MW, but those stations upgraded to 
handle heavy-duty trucks will have up to 10 additional 
charging stations with a capacity of 2 MW each, for a 
peak load of 23.5 MW.87
The combination of the new CARB rule and a utility 
push for charging infrastructure may overcome 
the chicken-and-egg problem of vehicles and 
infrastructure.",7.793049,3.570083,2.819258,2.232776,5.726652,6.985679,8.086203,3.14676,1.188828,4.170001,2.211156,6.130037,2.309449,9.106121,1.631667,10.532804,1.053065,2.35706,2.882114,3.323313,0.903925,4.602835,1.604782,3.321615,1.012502,1.298267,News,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Although the rule is technology neutral, 
it will give electric trucks a firm head start in the 
California market.",3.997957,2.766623,6.772414,2.44446,15.11701,8.300948,8.095681,3.787201,1.262091,3.361338,1.147454,2.311672,2.209557,5.89106,7.113735,4.354688,0.423425,1.389429,2.317687,3.205629,0.939922,4.186471,1.199256,5.08221,1.256106,1.065976,Business and Industrial,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Fifteen Northeast states and the 
District of Columbia have signed a memorandum of 
understanding to follow the California standard.88 The 
size of these markets combined might be enough to 
compel the construction of charging infrastructure 
on the East Coast as well.",4.05159,2.369709,1.485877,1.354208,10.303363,2.502924,9.57096,3.286653,0.789781,2.769442,1.596006,2.339715,1.002616,5.056598,14.045284,11.40455,0.514991,4.013173,1.45395,3.472412,3.914235,6.416218,1.746994,2.452861,0.997846,1.088043,Law and Government,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Although these policy 
developments may jump start the construction 
of charging infrastructure for heavy and medium 
trucks, they risk leaving development of hydrogen 
infrastructure and vehicles behind.",5.469608,3.781725,4.373413,1.629532,9.81309,4.33168,8.88807,3.008985,0.859378,5.62467,1.225225,2.251758,1.123165,4.173111,3.459759,18.849279,0.623899,1.8798,1.626614,2.478366,0.807041,7.968142,3.182928,1.251834,0.652365,0.666564,News,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Hydrogen has 
advantages in the overall energy system, particularly 12its ability to act as a storage mechanism when excess 
zero-carbon electricity is available.",3.172043,2.541602,3.182602,1.936788,5.773776,5.96398,5.522634,3.23601,1.086977,6.888798,1.469572,2.611352,1.841874,2.275258,2.603299,6.65706,0.524007,1.275982,1.634249,2.869041,1.059798,30.588936,2.453329,1.155776,0.820687,0.854569,Science,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"While pushing the 
adoption of electric vehicles that can reduce emissions 
today, policymakers would do well to not abandon 
hydrogen, even though it is at an earlier stage of 
development.",7.832092,3.873857,8.313888,2.632607,8.495699,5.150388,3.192017,4.166314,0.787368,8.666231,1.583717,1.962909,0.802808,2.259052,4.988028,12.512143,0.358796,1.818575,2.296483,1.991882,0.925176,9.954858,2.324812,1.1068,1.047793,0.955708,News,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"There may be room in the heavy ground 
transport sector for both electric and hydrogen-fueled 
vehicles, and hydrogen could provide synergies with 
the rest of a decarbonized energy system.",2.625807,3.885042,9.013905,2.262924,7.694925,4.468623,5.554726,2.984752,0.978324,5.348146,1.430622,4.376944,1.869856,4.187459,3.295607,8.877599,0.670058,1.082892,1.833543,3.509563,0.985665,15.793766,2.680412,1.559481,1.253646,1.775714,Science,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"THE BIGGEST CHALLENGES: AVIATION AND 
MARINE SHIPPING
Although aviation is the most energy-intensive way of 
moving people and freight and marine shipping is the 
least intensive, aviation and shipping share important 
characteristics.",5.162084,4.667486,2.916808,3.168874,8.040193,5.406329,1.836529,2.590046,2.991417,11.416444,3.846544,2.772916,1.624625,2.875591,2.273373,6.690986,0.859367,2.338732,3.569948,1.644749,1.044731,9.990494,6.052627,0.840085,2.302839,3.076184,Health,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Both generally involve large vehicles 
traveling long distances.",1.431617,3.451354,16.871742,1.848414,4.65773,6.812454,3.641793,2.558376,1.494094,3.214353,2.764807,1.646725,3.044184,1.151427,1.047711,3.324617,0.49921,1.117015,2.704967,1.688899,1.535067,3.246753,1.806912,0.833194,11.065907,16.54068,Autos and Vehicles,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Frequent refueling is often not 
possible, except in the case of city-to-city air shuttles 
or ferries.",4.31623,3.505307,3.532101,2.933961,7.787411,6.584329,3.317509,5.020765,2.663505,10.977016,3.382167,2.688263,2.518539,3.574294,2.521358,5.505693,0.465034,1.69636,6.0998,3.045941,0.804711,3.495027,3.408636,1.026416,3.944221,5.185404,Health,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Both also share the challenge of emissions 
that occur in international airspace or waters, outside 
of country boundaries.89 Aviation and marine shipping 
have strong international governing bodies that 
set goals for decarbonization and environmental 
performance.",2.010155,2.98406,2.064139,1.800095,10.789381,3.641896,3.551148,1.651203,1.474236,8.537988,1.449051,1.439081,1.878103,1.399605,13.54913,9.448006,0.659799,3.233683,3.818861,1.913502,2.033131,8.393751,4.673441,0.382532,3.773488,3.450535,Law and Government,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"The much more diffuse global trucking 
industry does not have this level of organization or 
centralized goal setting.",4.502228,3.485526,2.889638,1.795099,25.830218,3.911671,9.217521,2.218627,1.718103,4.674565,0.910703,1.541909,2.098976,2.887195,3.951704,8.281912,1.080699,2.284627,3.454113,1.109275,1.515322,2.736122,2.234147,1.600294,3.475976,0.59383,Business and Industrial,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Finally, the aviation and 
shipping industries are much more concentrated 
in their ownership than freight trucking.",2.067775,3.759352,2.596999,0.735094,24.420978,2.787628,8.788994,2.598782,2.360006,3.551768,1.223041,1.762971,3.185729,2.421776,6.939852,4.722451,0.602923,2.008637,5.254853,1.368286,1.292087,4.746841,3.448219,1.921731,4.360161,1.073066,Business and Industrial,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
