Sentence,Accommodation Food Services,Agriculture Forestry Fishing,Arts Entertainment Recreation,Economywide,Educational Services,Health Care Social Assistance,Information Finance Insurance,Manufacturing,Mining Quarrying Oil Gas,Public Administration,Real Estate Rental Leasing,Technical Management Services,Transportation Warehousing,Utilities Construction,WholeSale Retail Trade,Category_Tag,Filename
"Some European governments are ready 
to support efforts to develop new potential disruptive technologies, specifically by 
financing research and technology activities.",2.6342,5.465351,1.818122,16.852027,2.727311,4.492441,9.207119,8.092158,17.96273,3.378913,1.754827,8.448587,5.254816,9.961398,1.95,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"For instance, the French government 
will finance the aircraft industry to the tune of EUR  4 billion to EUR  5 billion in that 
field.",3.86166,11.997582,2.765604,29.680444,1.763347,3.219332,9.034413,8.280204,8.966894,2.41841,2.330511,5.303971,3.277187,4.620335,2.480106,Economywide,ISOfocus_143_en.pdf
"Another opportunity is to reduce CO2 emissions by developing and operating 
more “ green aircraft ” and “ green air transport systems  ”, including airports.",3.928643,20.542337,2.124167,11.580486,1.254879,2.739172,2.309998,6.746378,26.419542,1.343692,1.642476,2.445991,8.515221,5.551917,2.855101,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"The 
development of aircraft engines fuelled by hydrogen, for example, could become 
a reality by 2035.",2.899097,11.234138,3.085473,17.606439,1.742988,3.38646,3.728518,11.534004,23.398763,1.414451,2.468871,3.133865,4.669447,7.073485,2.624001,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"The French Association for Hydrogen and Fuel Cells , which brings together 
33 major groups in the sector, including key stakeholders within the aircraft 
industry, has asked the state to invest nearly EUR  10.3 billion between 2020 and 
2030 in the development of this technology.",3.024276,7.676011,2.160615,10.42589,2.264259,3.541065,12.112899,13.052684,20.726582,2.417121,2.488481,6.336906,3.257543,7.809458,2.70621,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"The objective of the multi-year energy 
programme is to achieve 10 % carbon-free hydrogen in the industry by 2023, and 
from 20 % to 40 % in 2028.",2.392864,9.208106,2.119337,14.41899,1.194414,2.693227,2.940076,4.267301,43.024784,1.448213,1.685339,2.244418,2.174758,8.392781,1.795392,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"The end goal is to make Europe a leader in the sector 
between 2020 and 2030.",4.257099,10.836031,2.4735,28.850346,2.806451,5.007693,5.639212,6.801496,8.418952,4.207796,1.33498,8.426723,3.168476,4.709536,3.061709,Economywide,ISOfocus_143_en.pdf
20 | ISOfocus_143How will ISO standards help to meet the new needs?,5.096761,9.099878,2.727405,14.808733,2.93664,5.341752,5.395569,11.503021,15.420296,3.25483,2.577648,5.984532,5.907999,5.222629,4.722307,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"The bene fit of ISO standards here will be to support the 
new developments in research and in new disruptive 
technologies.",3.134642,5.779583,2.105762,16.063794,3.354055,5.703163,5.283575,21.492498,12.180698,2.498594,2.170293,6.916218,4.417612,5.269355,3.630158,Manufacturing,ISOfocus_143_en.pdf
"Electric and hybrid-electric propulsion 
will rapidly be revolutionizing mobility technolo -
gies across industries, from automotive to marine.",2.025187,5.412154,3.441393,8.909537,2.233525,3.639249,4.103163,15.393656,15.157923,1.313105,2.10113,4.770481,20.282369,7.454926,3.762203,Transportation Warehousing,ISOfocus_143_en.pdf
And the aviation industry is no exception.,4.67978,14.629382,4.569806,13.142609,1.873185,5.368411,6.412305,12.984365,12.079768,1.766461,2.206095,4.771874,6.979812,4.031241,4.504907,Agriculture Forestry Fishing,ISOfocus_143_en.pdf
"In major 
aircraft companies such as Boeing and Airbus, work 
on electric flight aims to lay the groundwork for future 
industry-wide adoption and regulatory acceptance of 
alternative-propulsion commercial aircraft and urban 
air vehicles.",5.576176,8.621246,2.811946,5.692066,2.304085,3.083468,3.860027,19.692796,15.880098,1.726042,3.707546,5.712087,8.856423,8.93873,3.537266,Manufacturing,ISOfocus_143_en.pdf
"Given these challenges, what steps will ISO/TC 20 take 
to maintain its significant presence in the aerospace 
industry?",3.729203,8.349373,3.253109,8.230929,2.000883,4.041128,5.00201,22.963468,17.30109,1.696037,3.075339,5.215895,7.043278,4.55316,3.545098,Manufacturing,ISOfocus_143_en.pdf
"It is probably too early to say now what steps ISO/TC 20 
will have to take for the coming period.",4.350038,10.149075,3.875114,21.958921,2.975903,8.586224,5.119099,8.108061,10.824219,3.010176,3.195002,5.345143,4.966924,4.09813,3.437972,Economywide,ISOfocus_143_en.pdf
"I believe the most 
important challenge for the technical committee will be its 
ability to evolve day to day depending on the new needs 
that will surely occur.",3.177236,9.835842,3.049764,11.57744,3.309753,3.060865,2.772969,11.485257,21.361702,2.49104,2.498788,7.11348,5.069492,8.839401,4.356972,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"In that sense, it could be interesting to think about the 
creation of subcommittees dealing with the new aviation 
challenges related to climate change, eco-efficiency and 
sustainability to support our aviation industry.",5.493607,19.468593,3.059895,12.103235,2.79456,5.666186,4.616392,6.513516,15.652391,2.638527,2.449915,5.537667,5.704782,4.953477,3.347257,Agriculture Forestry Fishing,ISOfocus_143_en.pdf
■The CityAirbus “ flying taxi ” performed its first fully automatic flight in July 2020.,7.484745,10.251141,5.230597,14.266016,3.052125,7.225104,4.092158,6.340254,6.629276,3.158801,4.384524,5.543151,12.418647,6.611642,3.311821,Economywide,ISOfocus_143_en.pdf
"Photo: AirbusCybersecurity  
in the driver’s seat
by Clare Naden
As the world gets more connected, so do 
our cars.",4.511595,9.738109,3.137369,11.149127,1.746231,10.279375,7.178806,6.277516,10.238711,3.141544,4.764075,4.670287,15.431174,5.099771,2.636311,Transportation Warehousing,ISOfocus_143_en.pdf
"But greater connectivity equates 
to more data that could get into the 
wrong hands.",3.150116,8.855496,2.208867,12.772366,2.455466,7.394457,14.406225,4.376408,16.359294,1.897968,2.400735,4.583913,8.604022,5.912169,4.622498,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"Cybersecurity in automotive 
engineering is an industry with the wind 
in its sails, but the battle is not yet won.",1.599406,5.996487,2.837739,6.030478,2.434741,3.980639,11.277735,9.741879,28.304812,1.577474,2.057519,11.027833,4.788118,5.021402,3.323737,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"Thanks to Internet technology, our cars enable us to not only make calls but tell 
us if we are veering into the wrong lane, give us live traffic updates or tell us where 
the nearest gas station is.",3.907756,5.94213,2.060434,8.653899,2.657638,5.542869,10.136028,5.583414,12.813381,2.127335,3.451122,3.200671,14.135767,15.257725,4.529832,Utilities Construction,ISOfocus_143_en.pdf
Moving us from A to B is almost secondary.,5.483337,8.819838,3.630719,19.987783,3.17025,9.60168,4.131727,5.250155,15.422421,2.408614,4.157206,3.548217,6.020201,4.251049,4.116804,Economywide,ISOfocus_143_en.pdf
"Yet all this 
functionality increases the risks, which range from stealing your personal infor -
mation to literally driving you off the road.",4.254405,9.174329,2.731203,10.727076,1.718148,5.795293,6.935221,6.796784,23.942237,1.338746,1.983412,3.797244,9.591578,3.824601,7.389723,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"In various experiments to test the robustness of cybersecurity systems in vehicles, 
“ white hat hackers ” – i.e. computer security experts who deliberately hack into 
systems to test and assess their security – have demonstrated that it is possible to 
remotely control cars.",3.203001,8.646175,2.68213,6.297375,3.564682,5.148568,8.267888,8.224827,20.709574,1.953212,3.018568,6.669864,10.741677,6.442661,4.429796,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"For example, as far back as 2015, such hackers demonstrated 
that they could take control of a Jeep’s braking and acceleration systems, its dash -
board and more – a terrifying thought.",3.47371,7.707908,3.716939,11.14188,2.406881,7.022079,5.461148,9.478339,22.393925,2.17491,3.500528,6.302196,7.133473,4.076266,4.009819,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"In another experiment on a Tesla , computer security experts managed to trick the 
car’s Autopilot self-driving software and swerve into the oncoming traffic lane.",3.094871,5.890367,3.078658,14.545718,3.876016,6.634636,7.378853,13.596311,13.683515,2.385735,2.962045,5.840224,7.97614,5.196769,3.860141,Economywide,ISOfocus_143_en.pdf
"“ Other incidents, such as those not involving white hat hackers, would also need 
to be handled with reasonable care and attention, ” says Dr Gido Scharfenberger-
Fabian, a project leader in ISO’s expert working group WG 11 that deals with cyber -
security for electrical and electronic components of road vehicles.",3.806561,7.413231,3.110503,4.274746,2.864843,8.370479,7.125041,7.567129,18.160231,3.466814,2.627176,11.392047,7.670432,8.657186,3.493581,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"1)
Cybersecurity, therefore, is big business, particularly when it comes to vehicles.",3.656121,4.940889,2.694316,7.638346,1.212594,3.026956,18.384026,10.496428,14.371508,2.019299,3.704947,7.306349,7.760656,5.88534,6.902225,Information Finance Insurance,ISOfocus_143_en.pdf
"Various estimates  of the value of the global automotive cybersecurity market put 
it growing from USD  2.4 billion in 2019 to some USD  6 billion by 2025.",1.891394,6.360382,2.525003,20.98145,1.877088,2.514188,20.043634,8.200117,10.396436,1.625117,2.104127,5.631804,3.721645,3.409941,8.717674,Economywide,ISOfocus_143_en.pdf
"But despite 
this thriving industry, the war on hacking has only just begun.",2.751207,9.199392,3.387336,16.648203,2.894075,6.087707,7.762975,10.175083,19.092863,1.786933,2.36174,8.338033,2.914627,3.121339,3.478487,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"1) WG 11 operates under technical committee ISO/TC 22, Road vehicles , subcommittee SC 32, 
Electrical and electronic components and general system aspects .",3.595563,3.895096,2.375459,3.728754,3.202224,4.874326,7.436555,8.849333,8.748078,4.025157,4.334888,10.521065,13.001563,18.331295,3.080645,Utilities Construction,ISOfocus_143_en.pdf
"ISOfocus_143 | 23A long history of data
Data has been collected from our cars as far back as the early 1990s, 
says Jack Pokrzywa, Director of Global Ground Vehicle Standards 
for SAE  International , a global association for the “ mobility ” engi -
neering profession and a key ISO partner.",4.046706,8.26489,2.505617,10.815004,2.762745,8.340641,9.17136,4.575842,20.044033,3.092979,3.50202,4.454104,9.827562,4.285655,4.310842,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"Devices such as Event Data 
Recorders, or the “ black box ” of a car, provide information about our 
vehicle’s operations before and after a crash, for example.",4.120031,5.809824,5.208425,6.984911,2.637874,8.962568,16.084686,7.126304,10.335041,2.911265,3.02707,8.421397,8.370403,6.703611,3.29659,Information Finance Insurance,ISOfocus_143_en.pdf
"Now, of course, the technology has advanced well beyond that.",2.744354,6.219317,3.064753,22.766971,3.305348,6.172265,7.940125,16.133997,10.574891,1.897341,1.394847,5.962632,4.298714,4.221179,3.303265,Economywide,ISOfocus_143_en.pdf
"Capabilities include capturing outside information, such as location, 
weather and traffic conditions, while sensors inside the vehicle can 
collect data about the occupants to provide meaningful information in 
case of an accident. “",4.853948,6.191956,4.573561,4.669512,1.967196,4.718351,10.651041,5.136141,24.396308,2.813194,3.357381,6.109927,11.155321,5.9613,3.444863,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"Let’s not forget about the biometric information, 
which can also track, for example, eye movement to detect a driver’s 
attention in order to determine if a driver is falling asleep behind the 
wheel, ” he adds. “",6.374734,10.233519,4.25477,12.684109,2.846151,12.453788,9.411409,6.660454,9.832498,2.547519,3.182989,4.713907,6.705286,4.730903,3.367963,Economywide,ISOfocus_143_en.pdf
"And now we have so many apps that connect to a 
car’s operating system, enabling, for example, the information about 
your calls made through a car speaker system to be recorded.",5.392298,7.885042,4.742184,8.775873,3.771504,11.370322,16.220643,4.973117,5.63455,2.836519,3.596734,8.05129,5.928015,6.607037,4.214873,Information Finance Insurance,ISOfocus_143_en.pdf
"There 
are benefits of this related to safety, but there is also concern about 
data privacy.”",4.052765,4.606196,2.747491,7.751351,1.504692,5.951843,29.504618,4.938492,13.759373,3.1705,3.492162,6.208455,4.482425,5.151052,2.678584,Information Finance Insurance,ISOfocus_143_en.pdf
"In some jurisdictions, such as Europe, the vehicle identification 
number ( VIN ) is seen as personal identifiable information ( PII), 
warns Dr Markus Tschersich, another project leader in ISO’s expert 
working group. “",4.544503,5.407152,2.607941,9.529944,2.798822,9.041259,13.978329,10.301857,12.467818,3.163623,4.041804,5.639198,7.084332,6.100512,3.292906,Information Finance Insurance,ISOfocus_143_en.pdf
"Therefore, all data generated by vehicle systems and 
associated to a VIN can be interpreted as PII.",3.833485,9.284389,3.541588,12.635157,2.01873,5.516096,11.662145,7.875323,12.005198,2.590224,5.154596,6.660132,6.297521,7.832766,3.092651,Economywide,ISOfocus_143_en.pdf
"This is information that, 
on its own or combined, can be used to identify, locate or contact an 
individual.",4.835245,10.507193,3.788399,5.484607,3.633673,12.542221,19.848066,3.494112,9.939058,2.705704,3.160614,8.124662,4.08862,2.697712,5.150114,Information Finance Insurance,ISOfocus_143_en.pdf
"For example, data gathered from braking, steering systems 
and other car components can be used to derive information about 
the driver’s skills and behaviour.”",4.368658,10.686136,2.978482,7.771402,2.398373,5.52148,7.771715,5.882384,14.658287,2.884682,4.034235,7.444562,12.891938,5.255811,5.451855,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"And as long as there is a connection 
between the car and external sources, there is a possibility of hacking.",3.977579,8.630526,3.165453,10.093176,2.000288,3.989688,7.326482,5.997023,27.759021,1.885344,4.824762,3.782274,6.542463,6.47264,3.55328,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"Cybersecurity  
is big business, 
particularly when  
it comes to vehicles.",3.594334,5.66115,3.131084,8.340412,1.321505,3.312229,18.524015,10.090758,11.321664,1.986797,3.796395,9.425977,7.268687,5.941709,6.283285,Information Finance Insurance,ISOfocus_143_en.pdf
"24 | ISOfocus_143The race to keep up with hackers
Today’s cars are filled with complex soft -
ware and they are expected to be even more 
so in the not-so-distant future.",2.628364,4.209064,2.868445,8.697981,1.994761,3.921208,6.24379,10.069711,23.377637,1.420213,3.189595,3.438909,15.723944,4.681055,7.535324,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"According 
to management consultancy McKinsey & 
Company, cars have around one hundred 
million lines of code today, but it is thought 
that by 2030 there will be three times 
that number.",3.251918,9.639352,2.916342,17.103317,2.455075,5.093613,8.924127,7.824822,8.170927,1.609841,3.371619,4.735941,8.714761,9.811755,6.37659,Economywide,ISOfocus_143_en.pdf
"This is compared to, say, a 
passenger aircraft, which has approximately 
15 million lines of code and your standard PC 
operating system with up to 40 million lines 
of code.",5.98646,10.922588,3.974406,11.991152,3.180841,6.866229,8.55743,7.427775,8.954816,1.892087,3.516515,6.324953,8.202203,7.507707,4.694839,Economywide,ISOfocus_143_en.pdf
"The more complex the machine, the 
more opportunities for cyber-attacks along 
the entire value chain.",2.224234,5.474946,2.5252,10.811698,1.953614,2.845675,16.926812,11.302182,16.236562,1.392272,1.619486,5.721972,5.727897,3.370893,11.866557,Information Finance Insurance,ISOfocus_143_en.pdf
"As technology becomes more deeply 
embedded into cars in general, the automo -
tive industry is facing the task of our genera -
tion.",1.268429,2.642078,1.585644,3.699859,1.058025,1.88276,2.546383,57.493889,10.532157,1.000593,1.188876,2.692049,5.861727,2.493947,4.053582,Manufacturing,ISOfocus_143_en.pdf
"That is, securing the global automotive 
infrastructure from those cybercriminals 
who want to steal data and take control of automated systems for malicious purposes.",1.963368,4.846772,1.594537,5.915671,1.318604,3.218643,9.688352,10.341717,31.163749,2.229737,2.561837,4.303377,12.58032,4.477102,3.796215,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"“ Cybersecurity measures need to be adapted 
from system generation to system genera -
tion, but also in systems in the field via 
updates,  ” says Dr Scharfenberger-Fabian.",2.793479,11.292011,1.59929,11.533205,3.11672,3.972058,11.091598,5.758807,16.554726,5.188268,2.013672,11.196601,3.170039,7.292484,3.427043,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
“ It is a never-ending challenge.”,3.530931,19.340593,4.684889,14.004769,4.9887,8.6979,4.536973,6.829015,13.125954,1.767769,2.602959,5.28096,3.995943,3.859374,2.753273,Agriculture Forestry Fishing,ISOfocus_143_en.pdf
"Pokrzywa points out that any device that 
runs on software can be hacked.",4.426982,11.56299,4.743146,11.452533,3.446325,6.765615,9.987737,5.668012,13.17569,3.202674,3.571946,7.812758,4.619447,7.131132,2.433013,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"Countering 
such problems requires a high degree of 
knowledge sharing in the industry and 
particularly between car manufacturers 
and their supply networks.",3.41215,3.833956,1.165934,2.4344,1.1277,1.735095,7.660597,33.588646,13.568818,0.885771,1.323149,4.474722,6.957868,2.160656,15.670539,Manufacturing,ISOfocus_143_en.pdf
"One organi -
zation that does that in the US, he says, is 
the Automotive Information Sharing and 
Analysis Center ( Auto- ISAC ).",3.183512,5.226139,1.750024,9.02596,3.450656,9.115151,18.748593,7.240966,7.484171,2.95566,3.668402,7.969104,11.728416,3.024823,5.428422,Information Finance Insurance,ISOfocus_143_en.pdf
"Industry 
members share and analyse information 
about any possible risks to vehicles, thus 
contributing to the strengthening of cyber -
security technologies.",2.253622,2.834941,1.431619,3.366379,1.347935,2.95959,31.583782,11.098069,12.151038,1.561809,1.74105,10.192717,7.671746,5.987408,3.818294,Information Finance Insurance,ISOfocus_143_en.pdf
"But a worldwide 
holistic approach is also needed.",6.923583,16.587928,3.597742,16.905475,3.893667,12.424384,5.858199,3.565272,13.387073,2.650632,2.014812,4.884041,2.565564,2.202238,2.539392,Economywide,ISOfocus_143_en.pdf
Head-up display systems are the future of automotive technology.,4.481346,6.158461,8.053845,9.777785,2.460838,6.272906,8.894591,14.280826,7.393671,1.890477,2.212835,5.95759,9.304011,4.675695,8.185125,Manufacturing,ISOfocus_143_en.pdf
"ISOfocus_143 | 25A global call
Aligning processes and methods along the supply chain 
as a baseline for considering cybersecurity appropriately 
in the engineering of automotive systems is the key, says 
Dr Scharfenberger-Fabian. “",2.694339,4.971378,0.881517,3.672566,2.22654,2.939795,8.737883,14.673423,17.518926,1.940006,2.134484,9.27949,17.068597,4.517917,6.74314,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"There are many established 
International Standards for IT security (e.g. ISO/IEC 27xxx 
series) or industry-specific security standards ( IEC 62443 
series  for industrial control systems),  ” he says, “  but 
they don’t address the specific needs of the automotive 
industry.”",3.676565,5.759987,1.47774,8.544831,2.780933,3.798513,11.627351,14.024457,15.282808,3.410572,2.517299,11.214731,4.858063,7.198534,3.827616,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"In 2015, SAE International created the Vehicle Cybersecurity 
Systems Engineering Committee to address these threats 
and vulnerabilities in the US market.",3.18314,5.853038,2.06734,7.211052,2.936373,6.78035,11.471225,8.135204,17.446507,3.123468,3.596663,15.127455,4.401093,5.304753,3.362337,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"A year later, the 
committee published SAE  J3061 , Cybersecurity Guidebook 
for Cyber-Physical Vehicle Systems , which defines a 
complete life-cycle process framework that can be tailored 
and utilized within each organization’s development 
processes to incorporate cybersecurity into cyber-physical 
vehicle systems, from concept phase through production, 
operation, service and decommissioning.",3.046116,6.326019,2.386407,6.846752,4.615366,8.013596,9.462252,6.462035,9.696693,3.525176,2.459214,21.581176,7.386106,5.301697,2.891395,Technical Management Services,ISOfocus_143_en.pdf
"The new International Standard will draw on the SAE  
guidance and build a comprehensive cybersecurity tool 
that addresses all the needs and challenges of the industry 
at a global level.",3.510413,10.928692,1.854747,13.039197,6.07034,6.765459,11.665091,5.676151,9.635893,3.891301,1.930487,15.501338,2.40024,3.459564,3.671086,Technical Management Services,ISOfocus_143_en.pdf
"Currently in development, ISO/SAE 21434 , 
Road vehicles – Cybersecurity engineering , is due to be 
published in 2021 and aims to address cybersecurity in 
the engineering of electrical and electronic (E/E) systems 
within road vehicles.",2.118296,7.211013,2.149314,8.988657,4.822847,6.821104,8.5927,5.905315,10.442437,3.975991,4.077608,12.45299,7.855179,12.069363,2.517183,Technical Management Services,ISOfocus_143_en.pdf
"Use of the standard is thus intended 
to help manufacturers keep up with changing technolo -
gies and cyber-attack methods.",1.923908,3.844143,0.908172,4.643901,0.972661,1.348817,4.209351,54.853215,5.115958,0.800869,0.919483,4.892683,3.495893,2.634327,9.436619,Manufacturing,ISOfocus_143_en.pdf
"Involved in the project are Dr Scharfenberger-Fabian 
and Dr Tschersich, who explain that the standard is 
intended to supersede SAE  J3061 recommended prac -
tice.",3.90535,10.8003,1.617062,10.589153,4.512004,21.688886,5.523432,6.984463,6.748592,3.029175,2.405242,10.444965,4.640894,4.38168,2.728801,Health Care Social Assistance,ISOfocus_143_en.pdf
"It will enable organizations to define cybersecu -
rity policies and processes, manage cybersecurity risk 
and foster a cybersecurity culture.",4.355545,5.944753,4.041357,4.881322,4.393697,5.26134,15.886318,3.802075,7.298379,3.51268,2.152921,29.224979,2.5755,3.625147,3.043987,Technical Management Services,ISOfocus_143_en.pdf
"It can also be used 
to implement a cybersecurity management system, 
including a proper management of road vehicle cyber -
security risk.",3.516086,7.91464,1.897128,6.456346,2.134266,4.328657,12.337944,3.547536,7.94547,4.631812,3.875677,21.123766,9.872379,8.032969,2.385322,Technical Management Services,ISOfocus_143_en.pdf
"26 | ISOfocus_143The security question
For an industry used to breaking down complex 
challenges and standardizing responses, cybersecu -
rity remains an unstandardized anomaly.",3.70981,6.795593,3.026401,7.162534,3.399276,5.86692,11.888484,9.284124,23.034364,2.446493,1.658949,7.152019,5.070795,4.264194,5.240044,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"So can the 
standard promise true cybersecurity? “",3.875382,9.1948,2.897889,16.670611,2.419821,6.336891,15.819024,4.89079,12.482108,3.382797,2.659616,6.066184,3.141144,6.797408,3.365535,Economywide,ISOfocus_143_en.pdf
"Alas, there 
is no such thing as a ‘ secure technology ’ that could 
be standardized, ” says Dr Tschersich, “ so following 
ISO/SAE 21434 alone would not make the cars secure.",3.358486,6.942484,2.580111,11.07648,2.465763,7.266836,10.490758,9.467897,21.013667,2.739475,2.970112,3.943198,6.978802,5.958764,2.747169,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"But the processes described therein can most definitely 
build the baseline for a good cybersecurity engineering 
and help to tighten things up.”",2.535454,6.983694,1.74135,11.325638,4.767456,3.656988,8.711618,5.234635,27.816875,2.4613,1.98226,10.988492,3.767127,4.874622,3.15249,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"These processes, he says, include the assessment of 
cybersecurity risks and approaches to identify and 
align on cybersecurity solutions for the systems, and 
to communicate them along the supply chain.",3.656198,4.428209,1.35774,4.504582,2.894511,3.295089,12.149495,5.215044,16.92446,3.182952,1.931139,23.402428,5.712346,5.877749,5.468059,Technical Management Services,ISOfocus_143_en.pdf
"This 
includes the concept, development, production, oper -
ation, maintenance and decommissioning of road 
vehicle electrical and electronic systems, including 
their components and interfaces.",2.229555,3.572614,1.775611,1.643822,1.805697,1.93532,2.742296,9.912673,8.938636,2.792848,2.755862,6.123287,29.598664,21.660308,2.512807,Transportation Warehousing,ISOfocus_143_en.pdf
Real-time monitoring system software is used in automotive factories.,3.364172,7.107162,3.034573,9.796967,2.315092,4.161576,8.976231,21.695703,8.07685,1.796219,2.705229,8.61246,8.155713,4.751075,5.450978,Manufacturing,ISOfocus_143_en.pdf
"As long as there is  
a connection 
between the car  
and external sources, 
there is a possibility 
of hacking.",3.931927,8.528574,3.191014,9.969196,2.013867,3.859705,7.319694,5.865784,28.199582,1.890285,4.868254,3.796756,6.527617,6.540819,3.496927,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"The standard establishes a cybersecurity 
framework for automotive companies and 
features a common language for commu -
nicating and managing cybersecurity risk.",4.191738,5.188643,1.777346,8.237132,2.650219,3.983337,24.656942,8.072342,7.818369,2.113,2.290118,10.269389,8.326128,4.91194,5.513357,Information Finance Insurance,ISOfocus_143_en.pdf
"“ While ISO/SAE  21434  does not address or 
push technologies directly, the framework 
provided will enhance the collaboration on 
cybersecurity within the industry and thereby 
lead to technology and solutions that better 
meet today’s and tomorrow’s cybersecurity 
problems.”",2.627451,7.37359,1.521054,6.711354,4.826034,9.199556,9.854228,7.837234,14.633193,3.652665,2.084379,16.300003,5.107774,5.301692,2.969794,Technical Management Services,ISOfocus_143_en.pdf
"It will help consider cybersecu -
rity issues at every stage of the development 
process and in the field, creating a checklist 
for engineers that includes scanning for bugs, 
increasing the vehicle’s own cybersecurity 
defences and creating a risk analysis of poten -
tial vulnerabilities for every component.",3.586752,9.528763,2.810423,4.541086,5.870309,5.307763,8.888683,6.276428,17.432246,2.579407,2.248605,15.499334,5.397864,6.892378,3.139959,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"ISO/SAE 21434 is already in demand to support 
existing regulations, he says.",3.479878,8.379375,1.291396,27.530886,3.164673,6.732253,6.766596,7.139341,7.650708,2.561744,3.625707,6.584076,5.802818,4.602782,4.687767,Economywide,ISOfocus_143_en.pdf
"For example, it 
is seen as a reference document for the imple -
mentation of a cybersecurity management 
system ( CSMS ) demanded by recently intro -
duced United Nations ( UN) regulations related 
to cybersecurity in vehicles. “",3.415474,5.95287,1.529539,11.02277,3.272963,6.702929,13.848329,3.912955,10.844768,4.85316,2.830785,16.286991,6.607543,5.209996,3.708928,Technical Management Services,ISOfocus_143_en.pdf
"This is due to a 
tight collaboration between the ISO/SAE joint 
working group and the respective UN Task Force 
based on a liaison, ” he explains.",4.066722,7.134373,2.77858,7.413674,3.980068,10.627061,4.890834,8.243746,25.084102,2.606263,3.58019,8.081054,4.883934,3.84594,2.78346,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"To further improve the relationship between 
the UN regulation and standardization, work 
has recently started on a publicly available 
specification, ISO PAS  5112 , that gives guid -
ance on organizational audits with respect to 
cybersecurity engineering.",2.88697,6.246861,1.667781,9.131734,5.455599,4.098011,10.966528,8.454615,15.560429,4.694965,2.003997,14.746869,4.126604,5.119133,4.839903,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"It will be based on 
ISO/SAE 21434 and is intended to be used to 
audit a CSMS  as defined by the UN regulation.",2.824119,7.33891,2.015254,14.90039,4.067189,6.237938,13.012379,5.074032,8.221944,3.705762,3.283589,18.098509,3.922959,4.351829,2.945196,Technical Management Services,ISOfocus_143_en.pdf
"The end goal is widespread implementation 
of the standard into the industry’s daily engi -
neering practices, along with increased aware -
ness achieved by including the standard in the 
training curriculum of engineers.",3.811514,9.187216,2.410014,9.230136,13.822559,4.27064,3.986536,16.806303,8.286903,2.756878,1.01541,12.426092,3.644346,4.490312,3.85514,Manufacturing,ISOfocus_143_en.pdf
"“ If the product development is based on 
solid principles included in ISO/SAE  21434, 
vehicle security could be further increased, ” 
adds Dr Scharfenberger-Fabian.",2.775653,6.083364,1.607117,14.244922,2.056131,3.774805,9.324051,13.359212,14.777099,2.079019,3.699437,6.247807,9.776606,4.959486,5.23529,Mining Quarrying Oil Gas,ISOfocus_143_en.pdf
"The future 
standard is designed to improve automotive 
cybersecurity and risk mitigation across the 
entire supply chain – from vehicle design and 
engineering through to decommissioning.",2.441142,5.191118,1.359392,5.203963,1.753127,2.152878,10.440634,20.156342,9.321337,1.839814,1.7614,9.249935,11.537112,7.585412,10.006392,Manufacturing,ISOfocus_143_en.pdf
"Many in the industry are already making plans 
to ensure its integration.",2.394615,2.877549,1.806578,11.205959,1.935574,2.050195,7.471699,37.393929,9.853552,1.477577,1.416331,6.140785,5.463181,3.368534,5.143943,Manufacturing,ISOfocus_143_en.pdf
"28 | ISOfocus_143In today’s motor industry, each step of the supply chain 
is guided, monitored and analysed by high-tech software.",2.350398,3.12528,0.806062,3.213497,1.634782,2.730263,5.897996,28.230677,16.831595,1.580038,0.891839,8.733837,11.82294,3.33405,8.816747,Manufacturing,ISOfocus_143_en.pdf
