Sentence,Accountants,Artists,Books and Literature,Business Owners,Charitable Trusts and NGOs,Consumer Services,Counselors,Doctors,Estate Agents,Family Offices,Financial Advisors,Franchise Operations,Goods Suppliers,Governments,Hospitals,Independent Consultants,Individuals,Intergovernmental and Regulators,International Institutions,Lawyers,Manufacturers,Multi Nationals,Municipalities and Cities,Online Re-Sellers,Organizations,Parents,Philanthropies and Foundations,Politicians,Private Corporations,Professionals,Public Companies,Regional Governments,Restaurants,Retail Shops,Seniors,Service Vendors,Singles,Sports Persons,Students,Universities,Category_Tag,Filename
"The challenge for policymakers will be keeping technology 
advances and policy in alignment as the technology advances.",0.935349,2.149217,1.719503,0.788096,1.743503,4.478229,1.188526,0.472955,0.838891,0.984844,2.347931,2.926228,1.490197,17.341837,0.691768,2.387683,2.350847,7.996364,1.219933,1.497749,4.581062,1.322976,3.1129,1.22449,6.578813,2.086779,1.525192,3.710706,0.878625,3.409014,1.927422,5.597906,0.446317,0.493581,1.006465,1.862065,1.227903,0.707357,1.605705,1.145074,Governments,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"The COVID-19 pandemic adds a degree 
of difficulty, since it is unclear how it may shift demand and consumer preferences in transport.",1.107448,1.732305,8.864553,0.584437,1.146442,10.272533,2.40105,0.744809,0.605242,0.661006,1.630731,5.561941,1.90939,2.439918,1.700775,0.764584,2.969941,4.533829,3.189407,0.990716,5.367607,3.60435,2.49518,2.083952,3.779373,0.908344,0.972051,0.894422,0.730511,1.338586,8.679833,2.443684,0.895043,1.651414,2.13722,3.646205,0.893633,0.932215,1.952098,0.783218,Consumer Services,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"For 
example, consumers may remain reluctant to use urban public transport, and shorter supply chains 
may be attractive to businesses seeking to become more resilient in the face of a global disruption.3When one thinks about technologies that are 
emblematic of the fight against climate change, 
electric vehicles (EVs) are high on the list.",1.176419,1.43066,1.924799,0.725517,1.854656,7.052584,1.132777,0.496619,0.862002,0.765665,1.67898,6.13283,3.024053,3.215106,0.71778,1.901488,3.408599,6.242235,2.60546,1.147528,6.181457,2.130424,8.668958,2.657297,4.057327,1.71845,1.19268,1.883414,0.881279,1.267884,3.625001,5.089573,0.699768,2.454876,1.527951,4.074967,1.0346,0.81176,1.762701,0.783876,Municipalities and Cities,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Oil is 
the dominant fuel for transportation today, but oil 
companies are now facing public backlash, with 
pressure on banks to stop funding oil projects13 
and lawsuits attempting to hold oil companies 
accountable for climate damage.14 EVs are a 
pathway away from oil, allowing transportation 
to tap into abundant and inexpensive renewable 
power.",1.539587,2.250746,3.579097,1.156095,1.126735,6.007938,1.554867,0.502068,0.587511,0.702673,1.569347,4.898173,1.845828,2.327701,0.555403,1.432688,5.224403,4.485067,5.218067,1.879385,7.430338,2.91657,1.421467,1.775,3.428989,1.559399,0.705747,2.772679,1.120391,2.693295,12.320869,2.068917,1.131846,1.025095,0.844623,3.087808,0.825557,1.67558,1.589358,1.163095,Public Companies,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Global electric vehicle sales have surged 
over the last decade15 particularly in China, which 
accounted for approximately 45% of EVs on the 
road in 2018.16
Yet moving away from oil in the transportation 
sector is not as simple as an electric vehicle in 
every driveway.",1.071522,1.654902,2.938538,0.87524,0.633168,4.878559,0.684147,0.423183,0.491822,1.014908,0.903452,6.389274,3.065918,2.305278,0.573596,0.552376,4.801482,1.717258,3.398011,0.937472,11.025276,8.708096,1.849499,2.371156,2.749266,1.442891,0.473966,0.788638,2.047498,1.706785,13.766494,1.7642,0.838554,2.653319,0.977105,2.904542,0.67465,1.720933,1.481442,0.745584,Public Companies,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Electric vehicles work well for many 
applications, but for others, oil’s nature as an 
energy-dense liquid is more difficult to replace.17 TRANSPORTATION IS A SIGNIFICANT PORTION 
OF ENERGY USE AND GREENHOUSE GAS 
EMISSIONS
Transportation is a central feature of modern life.",1.07028,2.501105,3.267216,0.715397,1.323212,9.550104,1.587611,0.728141,0.689073,0.779302,1.063342,7.775464,2.77183,3.960565,0.976123,1.107805,4.481499,2.737059,3.514299,1.207411,8.358971,2.239059,3.06432,1.381689,2.83295,2.246039,0.827736,1.749637,0.837199,2.437324,7.108836,2.847638,0.85608,1.146073,1.769787,2.68287,1.091423,1.693715,2.119287,0.902531,Consumer Services,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Globalization has steadily increased the movement 
of goods and people, and transportation is one 
of the largest energy use sectors.",0.536508,1.527391,2.043432,0.659806,1.012481,3.567727,0.77847,0.450153,0.745996,0.667778,0.867495,4.992955,1.835345,11.441644,0.627128,0.80854,8.383954,3.766599,3.809799,0.811767,4.845136,5.25982,6.148655,2.015314,2.875324,1.402487,1.098568,1.928326,1.000885,1.41164,7.389929,4.207835,0.703842,1.164696,1.674705,1.252712,1.013499,1.514622,2.335565,1.421471,Governments,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Pre-pandemic, 
transport made up 29% of global primary energy 
use18 and around 25% of global energy-related 
carbon dioxide (CO2) emissions.19 
During the COVID-19 pandemic, transportation has 
taken a particularly large hit, as people stopped 
commuting and travelling, and factories shut down.",1.037708,2.342511,7.36057,0.420527,1.203397,6.989387,1.960028,0.838755,0.485221,0.394076,1.035192,4.929201,1.351847,3.177363,1.376437,0.549994,8.570591,6.194025,5.413497,0.930613,8.527829,3.415641,2.078663,1.098785,1.935711,1.255475,0.965931,1.258856,0.798457,1.212519,7.753753,2.864366,0.879988,0.763941,1.989293,1.769998,0.707873,1.208361,1.923589,1.03003,Individuals,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"In areas with tight lockdowns due to the virus, 
road transportation saw declines of 50 to 75%.20 
Meanwhile, freight transport has declined somewhat 
during the pandemic21 and passenger aviation 
demand has plummeted.22 It remains to be seen 
how quickly transportation and overall economic 
activity will recover as the pandemic recedes, but 1900 1920 1940 1960 1980 2000 2020Parts per million450
430
410
390
370
350
330
310
290
270
250FIGURE 1: ATMOSPHERIC CARBON DIOXIDE CONCENTRATION, MAUNA LOA OBSERVATORY
Source: National Oceanic Atmospheric Administration12 4the underlying systems of transportation have not 
changed as a result of the virus.",1.033698,2.594272,9.526139,0.526416,1.470403,9.515025,2.069513,0.80784,0.691376,0.53451,0.819186,3.45133,1.675354,3.34838,1.885532,0.551548,5.000102,4.844238,3.158089,1.117604,7.392236,2.477998,4.74884,2.145092,2.983037,1.183859,1.229379,1.62146,0.781818,1.248495,5.105131,2.559495,1.071413,1.242625,1.328864,3.193193,0.643243,1.441702,1.71194,1.269625,Books and Literature,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Transport emissions are particularly large in the 
developed world.",0.989468,1.433486,1.423427,0.394051,1.006702,1.547593,0.502454,0.671802,0.613082,0.358542,0.516748,2.2339,2.501863,9.224721,1.032176,0.586587,5.881586,4.01644,11.353311,0.679951,5.971715,16.30276,2.740231,0.782973,1.570412,1.09143,0.704916,1.279669,0.794663,1.390191,8.130182,5.093535,0.473008,0.621319,0.591219,1.183177,0.429036,1.250124,1.482708,1.14884,Multi Nationals,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"In the United States, transportation 
is the largest source of greenhouse gas emissions, 
with 29% of the total.24 The transportation sector 
has not benefitted from the tailwinds that have reduced GHG emissions in the electricity sector, 
namely, plummeting prices for renewable electricity 
and inexpensive natural gas in the United States.",1.385551,1.681477,2.637759,0.593023,1.500108,4.289346,1.801357,1.002985,0.71206,0.52447,1.034502,3.532975,2.705488,6.03912,1.205377,1.021089,5.796686,5.218398,5.270578,1.27577,7.170906,4.02967,2.96001,0.75148,2.358953,1.619533,1.125404,1.937046,1.092606,1.278666,11.506603,4.796022,0.670218,0.647534,1.336852,2.214484,0.590101,1.352174,1.812466,1.52115,Public Companies,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"In 2017, the transportation sector made up 27% of 
emissions in the EU and is the only main European 
economic sector in which GHG emissions have 
increased  compared to 1990 levels.25
In middle-income and developing countries, lower 
ownership of personal vehicles and smaller distances 
traveled result in lower GHG emissions from 
transportation than in more developed economies, 
totaling 8.6% of total emissions in China26 and 12% 
in India.27 Still, global transportation emissions have 
more than doubled since 1970,28 and transport 
emissions are projected to continue to rise at faster 
rates in these countries than in the developed world, 
as consumer demand for personal transport rises.29
OIL DOMINATES TRANSPORTATION FUEL TODAY
The transport sector is the least-diversified energy-
end use sector, dominated by oil.",1.270335,1.629438,2.543479,0.580891,1.392732,4.674457,1.069964,0.786512,0.741852,0.656354,0.978408,3.321125,1.888873,8.941599,1.25227,0.858341,5.323119,6.351223,5.646949,1.039637,6.06745,5.461721,4.433766,0.949105,2.964275,1.504315,1.030146,1.92448,1.125093,1.52816,5.13939,5.561639,0.784869,0.683721,1.554621,2.235131,0.786963,1.90719,1.859705,1.550701,Governments,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"In 2019, petroleum 
fuels accounted for 91% of U.S. transportation,30 
and 95% in the EU as of 2018.31 Road transport Buildings
31%
Transport
29%Industrial
29%Other
11%FIGURE 2: GLOBAL FINAL ENERGY CONSUMPTION 
BY SECTOR, 2018
Source: International Energy Agency23
8000
7000
6000
5000
4000
3000
2000
1000
0
1990 1995 2000 2005 2010 2015Metric tons of carbon dioxide equivalent
Total OECD Total non-OECDFIGURE 3: TRANSPORTATION EMISSIONS, OECD VERSUS NON-OECD COUNTRIES, 1990-2015
Sources: Transportation sector data by country, 2016, World Resources Institute’s CAIT emissions data32 and OECD country delineations335is the largest segment of global oil demand today, 
making up 42.2 million barrels per day (mbd) out of 
97.7 mbd of global oil demand, or 43%.34 
FIGURE 4: GLOBAL OIL DEMAND BY SECTOR, 2018
Other sectors
12%
Buildings
and power
13%
Industry and
petrochemicals
19%
Aviation and
shipping
12%Road 
transport
44%
Source: International Energy Agency35
Why does oil dominate the transportation sector?",1.724053,2.501495,3.225963,1.03262,0.960329,7.032107,1.349336,0.671138,0.577778,0.490266,1.340837,3.731692,2.968659,2.529558,0.6769,1.008008,4.251608,4.247836,7.275809,1.079373,10.87349,4.756575,1.46485,1.152756,2.325333,1.432451,0.709799,1.865243,1.098557,1.895531,9.956431,2.111586,1.549974,1.033417,1.302211,2.197524,0.836831,1.572599,1.976218,1.213258,Manufacturers,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"The 
reason is simple — fuels made from oil have attributes 
that make them nearly ideal transportation fuels.",1.114989,3.319735,2.777359,0.999171,0.86856,6.590155,1.21733,0.633165,0.597853,0.368487,1.040105,7.153858,5.169367,2.377554,0.410001,1.011404,5.989505,1.679423,1.89154,1.062786,14.776785,1.627258,1.330887,2.257638,1.558696,2.088119,0.579572,2.336214,1.081847,2.553353,9.992328,1.947032,2.231536,1.041707,0.553491,2.106808,1.185576,2.155681,1.364769,0.958357,Manufacturers,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Modes of transport don’t just carry their passengers 
or freight; they also carry the fuel required to make the 
journey.",1.182631,3.511724,5.548086,0.8216,0.688147,9.805752,1.557095,0.782223,1.496809,0.606791,1.02723,8.209135,5.946627,2.3576,1.199654,1.034437,2.992437,3.305078,1.893306,1.912917,7.050388,2.046759,2.198464,2.23513,1.197435,2.937693,0.488335,1.799823,1.334671,1.354892,5.062567,2.325556,1.730226,1.727361,1.022313,4.637541,1.103268,1.955389,1.18619,0.726724,Consumer Services,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Thus, the ideal transportation fuel is energy 
dense — meaning that it contains a lot of energy for 
its weight and volume.",1.295802,3.460137,4.006575,0.546101,0.915072,5.807619,1.24327,0.588103,0.558844,0.720368,1.408899,6.538158,3.572076,3.990943,0.910355,1.203279,7.95387,2.149779,2.62499,1.05493,9.345724,2.946484,2.095591,1.607642,2.040523,2.055491,0.69997,2.983072,0.75183,1.970195,7.389303,2.358268,1.280224,1.014968,0.772467,2.40168,1.022285,3.623446,1.998859,1.092806,Manufacturers,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Petroleum-based fuels meet 
this criterion.",3.058587,1.963463,1.489488,1.141487,1.114128,4.332798,1.170028,0.603029,0.403878,0.503143,1.682735,3.773394,4.841937,2.669342,0.414927,1.147539,2.413477,6.488791,1.849169,0.816419,20.382423,3.17848,0.85231,2.081056,1.742406,1.388303,0.69979,1.343634,1.35652,5.170441,6.571564,1.948148,2.603241,0.606207,0.493959,2.922254,1.399428,1.575115,1.31031,0.496651,Manufacturers,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Liquid fuels enabled the development 
of the internal combustion engine, which powers the 
overwhelming majority of today’s transport.",1.490923,2.90742,3.28647,1.089455,0.813722,8.641783,0.873451,0.626227,0.468666,0.610803,0.880908,4.887809,2.827526,4.553904,0.820063,0.744248,7.019541,1.832981,2.275389,0.754773,12.820531,4.123061,1.341534,0.771069,2.071312,2.392052,0.617345,2.267415,1.858463,2.199792,9.410665,2.657839,2.043849,0.716254,0.435671,2.425862,0.634172,1.644614,1.397475,0.764964,Manufacturers,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Finally, 
liquid fuels are ideal for transportation because they 
are easy to move from production to storage to final 
use in a vehicle — they can be easily pumped into an 
on-board tank.",1.551683,3.48242,1.901302,0.654239,1.364786,12.425092,1.084143,0.660969,0.939991,0.52434,1.424807,5.168376,5.694575,4.046411,1.026345,1.847601,2.187639,1.774116,1.304633,1.018718,10.257168,1.674645,2.932813,2.559827,1.417135,1.931791,1.068756,1.70463,1.348876,2.243525,5.073198,2.506693,2.309541,1.805528,0.804432,4.541109,1.085319,2.151213,1.53115,0.970466,Consumer Services,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"However, the transportation sector is not 
homogenous.",0.720743,1.07885,3.657326,0.554948,0.97877,4.975475,1.161466,0.741164,0.694094,0.889039,0.749226,6.474024,2.086775,5.454466,1.853245,1.074203,2.7308,4.850478,3.637947,1.035235,4.28882,3.777911,7.162676,0.860328,2.781821,1.826594,0.690385,2.311314,1.948546,0.986496,10.811267,5.973228,0.621574,0.635711,1.731442,2.054149,0.988972,1.299759,1.361806,2.488926,Public Companies,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Some parts will be easier to 
decarbonize than others.",1.185933,5.048874,4.31463,0.640127,3.346471,17.055467,1.184707,0.553,1.010244,0.63496,1.436405,2.041348,3.317158,3.312559,1.73721,0.837779,3.306071,3.538266,0.831102,1.090432,10.421604,1.031382,3.614311,1.499877,2.931333,1.628361,3.207844,1.728745,1.004694,1.414501,2.068981,2.113523,0.92144,1.767341,0.801817,3.561633,0.518876,1.233073,1.376565,0.731356,Consumer Services,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Replacing oil will be 
easier in smaller vehicles carrying lighter loads with 
frequent opportunities for refueling.",1.446349,1.659982,1.187927,0.846689,0.998586,24.751662,0.760111,0.628313,1.010941,0.72136,1.725911,6.238711,5.699554,3.454703,0.792909,2.336628,0.960658,1.966661,0.968077,1.053875,8.328837,1.813285,1.923031,3.778981,1.161135,1.224898,0.784705,1.241406,0.776378,1.570667,2.501482,2.852963,1.232375,1.780778,0.666975,6.033855,0.733854,1.383461,0.617313,0.384014,Consumer Services,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Each of these 
qualities makes the energy density of oil-based 
fuels less important, making way for alternative on-
board energy sources, like batteries or hydrogen.",1.740892,3.185819,2.529493,0.764409,2.181619,6.098307,1.726183,0.603053,0.686012,0.766504,2.385843,2.041929,4.553401,2.842678,0.908891,2.709922,4.44483,1.843407,2.076249,0.961119,12.724933,1.863777,2.253899,1.300392,3.72075,2.6185,1.94907,2.360806,1.372655,2.206292,5.051499,2.583689,1.401528,1.652924,1.217876,3.669894,1.326265,2.44442,2.026827,1.203443,Manufacturers,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"The transition away from oil in light vehicles 
has begun…
Cars, light trucks, and two-wheelers are the easiest 
place to start in decarbonizing the transportation 
sector, and that transition has already begun.",1.198039,2.852252,4.589556,1.015959,1.116928,12.609335,1.088577,0.584145,1.307068,0.684361,1.13021,6.267325,1.802148,5.002863,0.85176,1.128341,3.107576,2.778702,2.43644,1.36301,10.47427,2.101324,3.897906,1.253619,2.740865,1.295585,0.920593,1.381986,1.06932,1.568868,8.512067,2.449916,0.89784,1.377966,0.755057,2.526653,0.847255,0.936958,0.936463,1.140892,Consumer Services,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"From 
2011 to 2018, EV sales in the United States grew 
91%,36 and the International Energy Agency projects 
that there will be 125 million electric cars on the 
road by 2030.37 Longer-term estimates of EV sales 
vary considerably, based on assumptions about 
policy and technology.",2.443438,2.0531,2.275813,0.939086,0.874751,12.456573,1.065025,0.648921,0.803439,1.00945,2.458368,4.953923,2.147973,2.940105,0.652818,1.086756,4.22571,2.760029,2.495331,1.59112,7.681779,2.238905,2.894094,3.013231,3.551845,2.558733,0.62786,1.208063,0.95792,1.682377,9.08544,2.138234,0.629014,1.589628,1.478773,3.943647,0.783377,1.411709,1.704441,0.939204,Consumer Services,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Low-penetration scenarios 
call for 305 million passenger EVs by 2040,38 15% 
of the global fleet, while very optimistic scenarios 
call for as many as 900 million EVs by that time, 
accounting for nearly half of the fleet.39 While 
estimates of electric vehicle growth vary, there is 
consensus that increased cost-competitiveness 
and government regulations will push both supply 
and demand.",2.452616,1.960798,4.222289,0.59472,1.001513,10.255802,1.742037,0.594293,0.720929,1.267548,2.578847,6.82044,1.517587,4.013895,0.988805,1.209685,4.406349,3.394373,2.892235,1.695898,5.878281,2.235713,4.782098,2.712194,2.813984,2.527898,0.618299,1.746075,0.870863,1.678418,3.874985,3.280967,0.902206,0.787581,1.492305,3.267165,1.538304,1.921806,2.05053,0.68967,Consumer Services,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Pre-pandemic, transport made up 29% of 
global primary energy use and around 25% 
of global energy-related carbon dioxide 
emissions.",1.479583,1.861904,3.635348,0.42034,1.669207,4.734135,1.503378,0.789411,0.507368,0.43049,1.29366,3.81754,1.849978,6.171443,1.208949,0.682,7.34563,7.931433,6.748589,0.724588,8.807705,4.403433,1.843845,1.018096,1.852822,1.343375,1.269507,1.193008,0.847804,1.363788,7.183891,4.580713,0.76467,0.640403,1.499183,1.666939,0.576359,0.970786,2.478353,0.890343,Manufacturers,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Electric vehicles and greater efficiency in vehicles 
with internal combustion engines are reducing 
the oil consumption of the light vehicle fleet.",1.347,1.686693,1.954175,1.51549,0.998475,13.86105,0.742202,0.727517,0.54076,0.847198,1.198051,7.019135,3.233003,2.907069,0.81229,1.429709,1.879922,3.073957,2.669919,1.209945,13.464211,2.698608,2.281242,1.221251,2.75544,2.181627,0.646617,1.187415,1.477699,2.085559,7.039812,2.682429,1.01845,1.277208,0.832284,4.083388,0.590009,1.292939,0.755526,0.774729,Consumer Services,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"The International Energy Agency estimates in its 
New Policies Scenario that oil demand from light 
vehicles will peak in the early 2020s,40 despite 
strong growth in the number of vehicles on the road.",1.600673,2.158846,2.860373,1.166016,0.88893,8.372506,0.888975,0.587302,0.614249,0.998999,1.81071,5.029068,2.22298,4.651088,0.884353,1.008443,6.164615,3.041252,4.896765,0.875472,7.327807,3.983989,1.957093,2.808483,4.294443,1.272892,0.758627,1.131927,1.237824,2.989372,5.373255,2.523998,1.397323,1.583903,1.185715,3.384973,1.806442,1.635198,1.679946,0.945174,Consumer Services,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Efficiency improvements are the most important 
contribution to this trend in the near term, with 
fuel substitution, especially electrification, also 
contributing.",2.689483,1.604672,1.323102,0.416953,1.60052,12.806,0.869967,0.555918,0.56453,0.954776,3.489335,3.036162,2.660571,10.887642,0.559934,1.680782,2.182385,5.854482,2.313979,0.656955,6.591159,1.548539,4.104608,1.696234,3.397558,1.414284,2.040773,2.58491,0.639374,1.889209,1.591642,5.838233,0.61859,0.889122,1.455081,2.826134,0.550786,1.401604,1.672916,0.541093,Consumer Services,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Electric vehicles are currently leading 
the race to remake the light vehicle fleet, but other 
technologies, especially hydrogen fuel cells, also 
have great potential.",0.822151,1.897366,1.519727,0.67501,0.926382,6.071324,0.705843,0.567486,0.477675,0.844749,0.890197,4.659067,3.909343,2.704731,0.911833,0.940597,3.61884,1.370585,1.712867,0.807721,30.47527,3.178549,2.018771,1.102944,2.903536,1.163327,0.652977,1.210335,1.076001,1.646076,7.516946,1.414573,0.524645,1.208731,0.477832,2.857249,0.941038,1.699178,1.269005,0.629524,Manufacturers,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"In the United States, cars and light trucks 
accounted for 55% of U.S. transportation energy 
use in 2017.41 Commercial and freight transport 6accounted for 24%, non-highway transport for 
22%.",1.926181,2.531517,2.601013,0.962115,0.815795,13.871667,1.636768,0.860217,1.209609,0.633712,1.527413,4.83209,3.214172,3.467264,0.999257,1.447914,3.329559,2.573151,1.352413,1.595975,6.678372,2.424746,2.947533,1.265034,1.896537,1.609984,0.821613,2.013422,1.532055,1.091086,11.685884,2.770163,1.019958,1.059315,1.800438,3.318122,0.844983,1.017559,1.487965,1.327427,Consumer Services,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"The breakdown between on-road and non-
highway transport is similar in Europe, where 82% 
of transport energy use is on the road.42
…But heavy transportation lags behind
However, displacing oil in the non-light vehicle 
portion of the transportation sector is more difficult.",1.172127,2.473661,3.306453,1.037974,1.334394,11.131587,1.293928,0.74357,1.218295,0.703573,1.196394,4.440713,1.846403,4.425358,1.164177,1.719827,3.539924,3.892669,2.933395,1.334655,5.283165,2.421307,5.018738,2.016316,2.030833,2.696937,0.903465,2.255681,1.580496,2.227749,4.990151,4.039359,1.427002,1.222237,1.398031,3.053279,1.235464,1.561316,1.952558,1.77684,Consumer Services,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"In heavy trucking, shipping, and aviation, moving 
people or goods over long distances makes the 
energy density of fuel particularly important.",1.982392,2.881748,3.306159,0.631353,1.081992,4.654107,1.35296,0.566246,1.630094,1.080387,2.035049,5.345496,4.304858,3.556512,0.709608,2.09286,5.528001,2.670818,2.564011,1.644158,6.815463,4.4556,2.302256,3.425401,2.795988,2.344395,0.884535,1.975611,0.977596,2.413159,4.434892,2.719903,1.226321,1.908044,1.028022,4.035599,1.023973,2.649321,2.249583,0.715526,Manufacturers,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"The 
energy density of batteries is orders of magnitude 
lower than petroleum fuels, making heavy transport 
more difficult to electrify.",2.047132,2.90448,6.718252,0.598821,1.308543,5.452674,1.656272,1.020959,0.782574,0.591696,1.90505,2.280525,2.272572,2.671661,1.189835,2.334245,6.429544,2.34193,1.918399,1.627852,7.357619,1.997857,3.128899,1.09782,3.276338,3.164295,1.183893,2.478338,1.325745,2.233666,7.396712,2.048038,0.969404,1.640773,1.694277,2.955549,0.746305,2.597511,2.606118,2.04783,Public Companies,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"For these sectors, lower 
carbon fuels that mimic the useful characteristics 
of petroleum fuels are a promising pathway for 
decarbonization.",1.934102,1.839349,1.924478,0.561682,3.94969,5.179772,1.286272,0.583587,0.785274,0.656969,1.780501,2.295183,2.67338,8.325732,0.703156,1.220966,3.083368,8.874974,1.837858,0.974587,8.801552,2.468836,2.717212,1.766921,3.992925,1.225211,3.702857,2.032159,0.842961,1.727012,3.832733,4.872448,1.407565,1.023834,0.593882,3.565297,0.697474,1.128834,2.388195,0.741215,Intergovernmental and Regulators,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Biofuels or fuels produced using 
electricity, such as hydrogen and synthetic fuels, 
are the likely substitutes in long-distance transport, 
but these fuels have their own inherent limitations.",1.829349,2.735261,3.70837,0.529971,1.596754,3.083259,1.837557,0.753555,0.738875,0.724337,1.603545,2.601241,9.246764,3.428678,1.090494,1.595049,3.576867,2.526889,3.165609,1.183641,11.362113,3.050791,1.745775,1.611164,1.880777,2.528973,1.21364,1.468668,1.787736,1.953366,7.463782,2.278824,2.097641,1.573439,0.971907,3.511223,1.151138,2.120313,1.699818,0.972851,Manufacturers,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Since liquid fuels are so important in these sectors, 
minimizing liquid fuel use in light transportation 
(and in other sectors of the economy) will be crucial 
to saving those fuels for where they are most 
needed.",1.786034,1.853252,1.39822,0.541266,2.804667,9.094864,0.867701,0.518609,0.907377,0.721178,1.730222,2.960365,3.584376,8.098243,0.917521,1.63673,2.294086,4.540156,1.877493,1.123563,6.753822,2.078228,3.259025,1.668492,2.622098,1.752399,2.348402,1.923078,1.263348,1.829463,5.157053,9.455425,1.315548,0.944672,0.768056,3.095993,0.861101,1.271827,1.38165,0.994396,Regional Governments,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"This issue is especially important in the 
case of biofuels, where land use constraints limit 
their production.",1.71849,1.359275,2.388926,0.813587,5.124821,3.88245,1.023388,0.562843,0.929369,0.644962,1.936529,2.15524,4.043184,5.39029,1.491528,1.543232,3.150376,8.252804,2.816019,1.225609,6.737552,1.972886,2.299376,0.75991,3.957023,2.653835,4.830061,0.830184,3.005332,1.356877,4.727612,5.606719,1.522945,0.899141,0.672633,3.288685,0.923072,1.166822,1.327054,1.009359,Intergovernmental and Regulators,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"Unfortunately, the harder-to-abate portions of 
transportation are also among the fastest growing.",1.088197,2.742064,5.735743,0.550948,0.746288,5.281449,1.236007,0.746701,1.078149,0.976911,0.952121,5.412543,1.788416,7.491815,1.492132,0.730949,6.670496,1.63219,1.973813,1.072264,7.10499,2.732317,5.359655,1.336592,1.640875,4.290723,0.596867,2.080048,1.147848,1.720618,6.450452,5.14367,0.843631,1.055852,1.410502,1.411266,0.995717,2.719632,1.178731,1.380815,Governments,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"The International Energy Agency estimates that oil 
demand in aviation will increase more than 50%43 
and in trucking by 25% by 2040.44 Miles traveled in 
these sectors tend to track closely with economic 
growth; they have declined rapidly during the COVID-19 pandemic but are likely to recover as the 
economy does.",1.938167,1.944568,4.564275,0.647242,1.107442,7.283971,1.216162,0.579026,0.654937,0.660302,2.335833,3.480478,1.864178,3.948058,0.969741,1.10473,6.230489,4.29728,5.600416,1.071916,6.768941,4.634036,1.708091,2.639273,4.074376,1.544984,1.120753,1.33882,1.450543,2.624454,8.167892,2.10066,1.152553,1.093868,0.951663,1.963401,0.81254,1.780172,1.598232,0.975536,Public Companies,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
"In these sectors, a number of strategies will be 
needed for decarbonization.",1.508142,1.503443,2.089694,0.585755,5.490748,9.051987,0.977563,0.729059,1.078867,0.876908,2.029624,2.380438,1.566272,7.133185,2.505124,1.105121,2.223658,6.617992,1.444429,1.123346,3.595688,2.019821,8.344995,1.083481,7.837808,0.925013,4.9826,1.674994,0.862933,1.865287,1.869677,3.85309,0.663361,0.803023,0.674704,3.195557,0.488343,0.954652,1.679394,0.604223,Consumer Services,FP_20201001_challenge_of_decarbonizing_heavy_transport.pdf
